"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2012/07/02","7,904,082","783,313,311","98.00","99.80","97.90","99.80","+1.30","3,357",
"2012/07/03","11,198,451","1,124,410,301","99.70","101.50","99.50","101.50","+1.70","2,988",
"2012/07/04","4,222,523","423,446,928","102.00","102.00","99.50","100.00","-1.50","1,620",
"2012/07/05","4,179,340","417,613,711","99.50","100.00","99.40","100.00"," 0.00","1,689",
"2012/07/06","8,274,650","825,970,756","99.00","100.00","98.90","100.00"," 0.00","1,945",
"2012/07/09","4,747,388","452,783,847","94.00","96.90","94.00","95.90","X0.00","2,387",
"2012/07/10","4,180,600","397,027,029","96.40","96.50","94.20","94.40","-1.50","2,079",
"2012/07/11","5,967,224","566,253,786","95.00","95.20","94.50","95.00","+0.60","2,720",
"2012/07/12","3,793,053","360,225,781","95.50","95.50","94.60","94.80","-0.20","1,409",
"2012/07/13","1,997,427","189,195,675","95.10","95.20","94.40","94.50","-0.30","832",
"2012/07/16","3,744,094","355,413,375","94.60","95.70","94.30","95.00","+0.50","2,094",
"2012/07/17","5,169,003","492,474,185","95.30","95.90","95.00","95.10","+0.10","2,474",
"2012/07/18","6,947,271","671,705,366","98.00","98.90","95.60","97.00","+1.90","3,099",
"2012/07/19","5,349,106","515,698,197","98.00","98.00","95.70","96.50","-0.50","2,600",
"2012/07/20","4,518,101","434,691,496","96.50","97.00","95.70","96.50"," 0.00","1,569",
"2012/07/23","3,400,074","326,455,304","97.00","97.40","95.70","96.00","-0.50","1,543",
"2012/07/24","4,728,276","454,706,532","96.00","97.00","95.80","97.00","+1.00","1,461",
"2012/07/25","6,232,816","601,355,436","96.80","97.00","95.50","96.00","-1.00","2,722",
"2012/07/26","3,509,749","338,100,649","96.90","96.90","95.70","96.30","+0.30","1,710",
"2012/07/27","4,798,196","462,524,664","96.30","96.60","95.90","96.50","+0.20","1,849",
"2012/07/30","5,004,036","485,043,794","96.60","97.80","95.90","97.80","+1.30","2,093",
"2012/07/31","9,174,820","914,523,028","98.00","100.50","98.00","99.00","+1.20","3,182",
