"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/04/05","39,627,527","484,333,495","12.20","12.30","12.15","12.25","+0.05","7,064",
"2017/04/06","17,529,590","213,415,522","12.20","12.25","12.10","12.20","-0.05","2,634",
"2017/04/07","22,756,138","275,681,209","12.15","12.20","12.05","12.15","-0.05","3,381",
"2017/04/10","17,390,008","211,719,132","12.15","12.25","12.10","12.15"," 0.00","2,588",
"2017/04/11","16,374,674","198,659,390","12.10","12.20","12.10","12.15"," 0.00","2,903",
"2017/04/12","27,865,089","335,763,418","12.10","12.15","12.00","12.00","-0.15","5,815",
"2017/04/13","22,564,625","272,584,469","12.05","12.15","12.00","12.10","+0.10","4,093",
"2017/04/14","19,467,318","234,198,116","12.10","12.10","12.00","12.00","-0.10","4,027",
"2017/04/17","16,948,297","203,420,737","12.00","12.05","11.95","12.05","+0.05","3,254",
"2017/04/18","38,367,190","466,607,644","12.05","12.30","12.00","12.10","+0.05","5,002",
"2017/04/19","29,690,081","355,911,405","12.05","12.10","11.90","11.95","-0.15","5,316",
"2017/04/20","23,794,289","283,253,585","11.90","11.95","11.85","11.85","-0.10","7,728",
"2017/04/21","23,892,277","284,738,284","11.90","11.95","11.85","11.90","+0.05","4,099",
"2017/04/24","18,824,587","224,220,959","11.90","11.95","11.85","11.90"," 0.00","3,809",
"2017/04/25","24,368,284","291,655,382","11.90","12.05","11.85","12.00","+0.10","6,254",
"2017/04/26","23,540,318","283,281,266","12.00","12.10","11.95","12.10","+0.10","4,110",
"2017/04/27","29,987,710","362,326,657","12.05","12.15","12.00","12.10"," 0.00","5,158",
"2017/04/28","31,481,413","379,567,921","12.10","12.10","12.00","12.05","-0.05","3,946",
