"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/11/01","14,241,546","167,294,574","11.70","11.80","11.65","11.75"," 0.00","3,161",
"2016/11/02","14,517,792","169,628,427","11.75","11.75","11.60","11.70","-0.05","3,202",
"2016/11/03","12,008,434","139,768,695","11.70","11.75","11.60","11.60","-0.10","2,092",
"2016/11/04","9,142,741","105,988,713","11.60","11.65","11.55","11.60"," 0.00","2,676",
"2016/11/07","10,903,794","127,176,168","11.65","11.70","11.60","11.65","+0.05","2,720",
"2016/11/08","11,672,749","136,094,753","11.65","11.70","11.60","11.70","+0.05","2,465",
"2016/11/09","34,093,183","393,524,232","11.75","11.75","11.45","11.50","-0.20","5,197",
"2016/11/10","22,450,893","260,362,558","11.60","11.65","11.55","11.60","+0.10","3,866",
"2016/11/11","49,255,512","561,315,959","11.50","11.55","11.30","11.35","-0.25","7,678",
"2016/11/14","26,733,487","302,724,845","11.40","11.50","11.25","11.30","-0.05","4,783",
"2016/11/15","16,941,854","191,780,903","11.30","11.40","11.30","11.30"," 0.00","4,124",
"2016/11/16","19,914,157","225,972,578","11.35","11.40","11.30","11.30"," 0.00","6,593",
"2016/11/17","18,716,418","212,965,103","11.35","11.45","11.30","11.35","+0.05","3,555",
"2016/11/18","22,094,305","250,084,095","11.35","11.40","11.30","11.30","-0.05","5,620",
"2016/11/21","19,337,338","221,317,390","11.40","11.55","11.40","11.40","+0.10","3,490",
"2016/11/22","18,335,231","209,306,713","11.40","11.45","11.35","11.40"," 0.00","3,773",
"2016/11/23","7,948,742","90,732,007","11.40","11.45","11.35","11.45","+0.05","2,820",
"2016/11/24","8,463,422","96,354,638","11.45","11.45","11.35","11.35","-0.10","1,932",
"2016/11/25","6,402,407","72,714,646","11.35","11.40","11.35","11.35"," 0.00","1,619",
"2016/11/28","12,463,990","141,716,324","11.35","11.40","11.35","11.35"," 0.00","3,393",
"2016/11/29","15,726,459","178,540,492","11.35","11.40","11.30","11.35"," 0.00","2,678",
"2016/11/30","81,583,636","919,209,352","11.40","11.40","11.25","11.25","-0.10","5,930",
