"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/12/03","69,986,070","824,034,669","11.70","11.85","11.70","11.70","+0.15","7,436",
"2018/12/04","57,135,658","675,530,735","11.75","11.90","11.70","11.80","+0.10","6,007",
"2018/12/05","37,958,349","441,717,053","11.65","11.70","11.50","11.55","-0.25","5,641",
"2018/12/06","53,465,490","605,960,401","11.55","11.55","11.20","11.30","-0.25","12,222",
"2018/12/07","41,314,094","463,444,675","11.30","11.35","11.10","11.20","-0.10","7,583",
"2018/12/10","29,147,847","323,977,428","11.10","11.20","11.05","11.10","-0.10","4,648",
"2018/12/11","43,093,155","474,654,555","11.00","11.10","10.90","11.00","-0.10","6,014",
"2018/12/12","41,642,151","467,632,645","11.10","11.40","11.00","11.30","+0.30","6,876",
"2018/12/13","60,680,361","696,251,855","11.35","11.55","11.35","11.50","+0.20","6,458",
"2018/12/14","43,980,055","499,532,299","11.40","11.50","11.25","11.35","-0.15","4,942",
"2018/12/17","47,487,219","543,439,856","11.40","11.55","11.35","11.40","+0.05","5,042",
"2018/12/18","44,070,825","496,266,621","11.30","11.35","11.20","11.20","-0.20","4,439",
"2018/12/19","59,388,708","672,387,283","11.25","11.45","11.20","11.30","+0.10","6,951",
"2018/12/20","41,050,768","466,684,017","11.25","11.45","11.20","11.30"," 0.00","5,902",
"2018/12/21","63,593,203","723,813,575","11.30","11.45","11.25","11.40","+0.10","5,335",
"2018/12/22","14,652,449","165,468,829","11.35","11.40","11.20","11.25","-0.15","2,888",
"2018/12/24","25,863,419","291,347,364","11.30","11.35","11.15","11.20","-0.05","3,829",
"2018/12/25","11,846,569","131,923,518","11.10","11.20","11.05","11.15","-0.05","3,109",
"2018/12/26","12,700,965","142,239,327","11.20","11.25","11.15","11.20","+0.05","3,078",
"2018/12/27","20,757,329","233,929,452","11.35","11.40","11.20","11.25","+0.05","4,446",
"2018/12/28","17,480,997","196,782,538","11.25","11.30","11.20","11.25"," 0.00","1,958",
