"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/05/03","39,129,437","458,615,699","11.90","11.95","11.60","11.65","-0.35","7,139",
"2016/05/04","60,940,132","697,809,569","11.55","11.60","11.35","11.45","-0.20","10,435",
"2016/05/05","48,217,645","547,220,301","11.40","11.45","11.25","11.30","-0.15","9,249",
"2016/05/06","41,375,729","466,245,316","11.30","11.35","11.20","11.30"," 0.00","6,060",
"2016/05/09","21,307,990","239,150,108","11.30","11.35","11.15","11.25","-0.05","4,377",
"2016/05/10","23,385,730","263,252,331","11.20","11.35","11.15","11.25"," 0.00","4,674",
"2016/05/11","39,491,542","447,552,650","11.35","11.45","11.25","11.25"," 0.00","8,131",
"2016/05/12","38,675,054","443,688,391","11.50","11.60","11.40","11.40","+0.15","6,764",
"2016/05/13","38,105,203","429,324,261","11.35","11.35","11.20","11.30","-0.10","8,172",
"2016/05/16","25,451,098","289,547,929","11.20","11.45","11.20","11.45","+0.15","5,292",
"2016/05/17","36,772,049","421,637,424","11.40","11.55","11.35","11.55","+0.10","9,788",
"2016/05/18","28,008,321","320,629,976","11.40","11.55","11.35","11.55"," 0.00","5,391",
"2016/05/19","33,075,957","378,055,786","11.45","11.50","11.35","11.50","-0.05","7,459",
"2016/05/20","27,719,666","317,529,090","11.40","11.55","11.40","11.55","+0.05","6,107",
"2016/05/23","37,639,802","439,005,422","11.45","11.80","11.40","11.80","+0.25","6,824",
"2016/05/24","23,921,797","280,458,576","11.70","11.80","11.65","11.80"," 0.00","4,919",
"2016/05/25","55,060,018","658,450,499","11.90","12.15","11.80","12.00","+0.20","7,468",
"2016/05/26","30,516,666","366,566,242","12.00","12.10","11.90","12.10","+0.10","5,948",
"2016/05/27","21,362,215","258,567,897","12.15","12.15","12.05","12.15","+0.05","4,940",
"2016/05/30","23,966,053","291,263,694","12.10","12.20","12.05","12.20","+0.05","4,719",
"2016/05/31","44,053,551","536,699,524","12.15","12.20","12.10","12.20"," 0.00","4,452",
