"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2015/04/01","1,164,162","32,094,327","27.55","27.85","27.40","27.85","+0.25","691",
"2015/04/02","1,743,302","48,339,199","28.00","28.10","27.45","27.50","-0.35","793",
"2015/04/07","2,131,271","59,482,259","28.70","28.70","27.50","27.55","+0.05","1,115",
"2015/04/08","1,488,413","41,740,889","28.40","28.40","27.85","27.90","+0.35","789",
"2015/04/09","2,062,617","56,669,592","28.20","28.20","27.10","27.15","-0.75","1,060",
"2015/04/10","1,975,444","53,527,437","27.30","27.50","27.00","27.00","-0.15","897",
"2015/04/13","829,872","22,656,756","27.00","27.40","27.00","27.40","+0.40","558",
"2015/04/14","532,396","14,473,345","27.40","27.40","27.00","27.20","-0.20","386",
"2015/04/15","1,201,429","32,427,534","27.15","27.35","26.80","26.80","-0.40","702",
"2015/04/16","1,049,965","28,117,757","27.00","27.05","26.60","26.80"," 0.00","711",
"2015/04/17","1,828,905","47,967,657","26.80","26.80","26.00","26.05","-0.75","1,089",
"2015/04/20","1,169,000","29,873,500","25.30","26.00","25.30","26.00","-0.05","711",
"2015/04/21","3,674,108","93,451,311","25.85","25.95","25.35","25.40","-0.60","1,279",
"2015/04/22","6,458,427","174,254,580","27.15","27.15","26.50","27.15","+1.75","2,247",
"2015/04/23","3,920,269","107,410,390","27.50","27.80","27.00","27.00","-0.15","2,020",
"2015/04/24","1,234,426","33,439,559","27.30","27.40","26.85","26.90","-0.10","793",
"2015/04/27","1,723,029","46,744,828","27.40","27.40","26.90","27.30","+0.40","962",
"2015/04/28","1,130,248","30,679,010","27.20","27.45","26.85","27.45","+0.15","761",
"2015/04/29","2,517,260","69,472,906","27.40","27.80","27.35","27.70","+0.25","1,303",
"2015/04/30","1,343,149","36,965,983","27.80","27.80","27.40","27.45","-0.25","1,000",
