"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2013/01/02","5,239,202","413,741,890","78.60","79.40","78.20","79.00","+0.40","2,006",
"2013/01/03","5,879,076","467,377,600","79.60","79.80","79.10","79.80","+0.80","2,634",
"2013/01/04","8,202,936","654,516,280","79.50","80.30","78.60","80.30","+0.50","3,227",
"2013/01/07","4,973,683","396,680,183","80.00","80.00","79.20","80.00","-0.30","2,306",
"2013/01/08","3,664,857","292,624,267","79.50","80.10","79.20","80.10","+0.10","1,385",
"2013/01/09","2,757,603","220,524,779","80.30","80.30","79.60","80.00","-0.10","1,239",
"2013/01/10","13,084,908","1,064,064,884","80.50","82.10","79.90","81.90","+1.90","4,610",
"2013/01/11","4,007,035","325,865,405","82.00","82.00","80.90","81.00","-0.90","1,499",
"2013/01/14","4,504,430","359,191,748","80.50","80.50","79.00","79.80","-1.20","2,098",
"2013/01/15","4,492,767","359,927,590","80.40","80.50","79.50","80.20","+0.40","2,323",
"2013/01/16","4,709,042","375,069,618","80.20","80.20","79.30","79.30","-0.90","2,778",
"2013/01/17","3,746,025","296,722,138","80.00","80.00","78.60","78.80","-0.50","1,737",
"2013/01/18","3,528,738","281,135,443","80.00","80.20","78.80","80.20","+1.40","1,728",
"2013/01/21","2,835,544","225,362,388","80.20","80.20","78.90","79.90","-0.30","1,328",
"2013/01/22","2,280,158","181,922,574","80.10","80.10","79.30","80.00","+0.10","1,047",
"2013/01/23","2,343,221","186,467,030","80.00","80.00","79.20","79.80","-0.20","1,253",
"2013/01/24","3,590,036","284,066,613","79.90","80.00","78.60","78.80","-1.00","1,578",
"2013/01/25","8,340,656","649,085,543","78.60","78.80","76.80","78.80"," 0.00","4,047",
"2013/01/28","3,153,760","247,599,286","78.90","79.20","78.10","78.50","-0.30","1,306",
"2013/01/29","3,919,575","309,147,922","79.00","79.10","78.40","79.00","+0.50","1,678",
"2013/01/30","4,805,485","381,706,388","79.30","80.00","78.80","80.00","+1.00","2,395",
"2013/01/31","6,355,928","507,604,521","79.20","80.20","79.20","80.20","+0.20","1,744",
