"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2013/12/02","6,407,916","169,393,507","26.55","26.70","26.15","26.60","+0.05","2,998",
"2013/12/03","5,789,883","152,156,756","26.60","26.60","26.10","26.25","-0.35","2,259",
"2013/12/04","4,578,549","119,639,813","26.15","26.25","26.05","26.05","-0.20","1,964",
"2013/12/05","5,600,725","146,401,904","26.30","26.40","25.95","25.95","-0.10","1,886",
"2013/12/06","7,470,758","195,811,046","26.00","26.30","25.95","26.25","+0.30","2,789",
"2013/12/09","5,114,677","135,271,374","26.50","26.55","26.30","26.40","+0.15","2,287",
"2013/12/10","4,153,800","109,245,795","26.40","26.50","26.10","26.10","-0.30","1,794",
"2013/12/11","9,238,727","238,640,501","26.10","26.35","25.45","25.70","-0.40","4,065",
"2013/12/12","22,364,676","560,667,570","25.30","25.30","24.90","24.95","-0.75","6,824",
"2013/12/13","11,765,261","293,886,375","24.85","25.10","24.85","25.00","+0.05","4,175",
"2013/12/16","13,629,761","338,179,243","25.00","25.00","24.65","24.70","-0.30","5,290",
"2013/12/17","7,983,844","198,277,934","24.75","24.95","24.70","24.85","+0.15","2,336",
"2013/12/18","11,660,112","292,415,281","25.20","25.25","24.90","25.00","+0.15","3,887",
"2013/12/19","8,418,373","210,517,925","25.20","25.20","24.90","24.90","-0.10","2,812",
"2013/12/20","23,983,053","585,504,673","24.80","24.80","24.20","24.50","-0.40","7,833",
"2013/12/23","8,057,153","199,448,822","24.45","25.00","24.45","24.95","+0.45","3,014",
"2013/12/24","6,214,016","155,519,850","25.10","25.20","24.90","25.00","+0.05","2,328",
"2013/12/25","10,423,502","264,189,177","25.10","25.60","25.00","25.40","+0.40","3,691",
"2013/12/26","11,749,158","296,162,987","25.40","25.45","25.05","25.15","-0.25","4,152",
"2013/12/27","12,256,858","307,676,997","25.15","25.25","24.95","25.10","-0.05","3,491",
"2013/12/30","13,530,821","341,438,957","25.15","25.35","25.15","25.20","+0.10","4,653",
"2013/12/31","13,791,885","344,892,579","25.20","25.25","24.90","25.05","-0.15","4,761",
