"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/01/03","4,218,805","431,226,915","102.00","102.50","101.50","102.50","+1.00","3,251",
"2017/01/04","9,305,713","963,455,152","102.50","104.00","102.50","103.50","+1.00","5,254",
"2017/01/05","8,346,661","868,696,544","104.00","104.50","103.00","104.50","+1.00","4,288",
"2017/01/06","14,559,468","1,503,360,879","104.50","104.50","102.50","103.00","-1.50","6,990",
"2017/01/09","9,338,495","954,178,702","102.50","102.50","102.00","102.00","-1.00","5,180",
"2017/01/10","9,041,362","921,989,369","101.50","102.50","101.50","102.00"," 0.00","4,458",
"2017/01/11","8,857,183","903,537,166","102.50","102.50","101.50","101.50","-0.50","5,095",
"2017/01/12","11,519,714","1,180,202,661","101.50","103.50","101.50","102.00","+0.50","4,863",
"2017/01/13","8,818,708","901,254,030","102.50","103.00","102.00","102.00"," 0.00","4,469",
"2017/01/16","4,236,966","432,604,469","102.00","102.50","102.00","102.00"," 0.00","2,652",
"2017/01/17","3,738,948","383,617,644","102.00","103.00","102.00","102.50","+0.50","1,712",
"2017/01/18","19,398,173","1,975,159,646","102.50","103.00","101.50","101.50","-1.00","7,940",
"2017/01/19","12,931,316","1,310,847,049","101.50","102.00","101.00","101.00","-0.50","5,568",
"2017/01/20","10,604,454","1,073,552,308","101.00","101.50","101.00","101.50","+0.50","5,849",
"2017/01/23","8,353,907","849,903,764","102.00","102.00","101.50","101.50"," 0.00","4,266",
"2017/01/24","12,184,953","1,250,789,648","101.50","104.00","101.50","102.00","+0.50","5,646",
