"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/02/01","10,449,828","1,142,837,252","109.00","110.00","109.00","109.00","+0.50","6,151",
"2018/02/02","10,658,600","1,164,544,900","109.50","109.50","109.00","109.00"," 0.00","4,992",
"2018/02/05","11,528,365","1,251,398,055","108.00","109.00","108.00","108.00","-1.00","7,071",
"2018/02/06","18,681,084","1,986,637,988","107.00","107.50","105.00","106.50","-1.50","9,384",
"2018/02/07","10,803,469","1,162,376,652","107.00","108.00","107.00","107.50","+1.00","6,262",
"2018/02/08","6,896,491","743,630,528","107.50","108.00","107.50","108.00","+0.50","4,352",
"2018/02/09","12,728,774","1,358,289,680","106.00","107.50","106.00","107.50","-0.50","6,420",
"2018/02/12","11,006,699","1,179,076,793","107.00","107.50","106.50","106.50","-1.00","6,537",
"2018/02/21","10,213,387","1,106,719,683","108.00","109.00","107.50","109.00","+2.50","5,728",
"2018/02/22","8,626,836","937,136,124","108.50","109.00","108.00","108.50","-0.50","5,048",
"2018/02/23","10,321,511","1,127,152,329","108.50","109.50","108.50","109.50","+1.00","4,646",
"2018/02/26","7,916,363","869,858,930","109.50","110.00","109.50","110.00","+0.50","5,177",
"2018/02/27","10,031,572","1,100,891,095","110.00","110.00","109.50","109.50","-0.50","3,983",
