"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/07/02","12,263,196","1,503,517,489","121.50","124.00","120.50","123.50","+2.00","2,992",
"2018/07/03","16,075,727","1,997,861,760","123.00","125.50","123.00","124.00","+0.50","5,189",
"2018/07/04","16,552,608","2,061,679,774","123.50","127.00","123.00","127.00","+3.00","4,072",
"2018/07/05","15,163,740","1,768,780,686","119.00","119.00","115.50","116.50","X0.00","5,622",
"2018/07/06","10,676,330","1,216,972,790","116.00","116.50","112.50","113.00","-3.50","4,772",
"2018/07/09","10,791,385","1,245,820,958","115.00","117.00","114.00","115.50","+2.50","3,435",
"2018/07/10","4,615,675","530,669,780","116.50","116.50","114.00","114.50","-1.00","1,668",
"2018/07/11","5,711,243","651,110,202","114.50","115.00","113.50","114.00","-0.50","2,898",
"2018/07/12","6,270,142","713,328,188","114.00","114.50","113.00","114.00"," 0.00","2,360",
"2018/07/13","4,412,919","508,211,634","114.50","116.00","114.00","115.50","+1.50","2,438",
"2018/07/16","3,452,593","395,467,383","116.00","116.00","114.00","114.50","-1.00","1,707",
"2018/07/17","7,656,650","860,855,112","114.00","114.00","111.50","112.50","-2.00","3,698",
"2018/07/18","5,666,462","640,720,926","113.00","114.00","112.00","113.50","+1.00","2,716",
"2018/07/19","3,347,724","378,588,812","113.50","114.00","112.50","113.00","-0.50","2,011",
"2018/07/20","3,785,875","426,252,375","113.00","113.50","112.00","113.00"," 0.00","2,221",
"2018/07/23","6,205,693","700,497,146","113.00","114.00","112.00","114.00","+1.00","3,066",
"2018/07/24","8,266,640","952,749,740","114.00","116.50","114.00","116.00","+2.00","4,011",
"2018/07/25","5,420,391","628,790,900","116.00","117.00","115.50","115.50","-0.50","2,730",
"2018/07/26","5,991,143","701,783,231","116.50","118.00","116.00","118.00","+2.50","2,742",
"2018/07/27","5,940,220","702,377,960","117.50","119.00","117.00","118.50","+0.50","2,725",
"2018/07/30","4,238,280","501,418,672","119.00","119.00","117.50","118.50"," 0.00","1,525",
"2018/07/31","7,597,959","908,664,580","118.50","120.50","118.50","120.50","+2.00","2,796",
