"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2014/12/01","9,113,326","540,835,522","56.50","60.60","56.30","60.00","+1.20","4,783",
"2014/12/02","13,951,961","876,434,943","60.60","63.90","60.60","63.30","+3.30","6,751",
"2014/12/03","12,291,700","799,549,134","64.50","66.50","63.50","64.90","+1.60","6,417",
"2014/12/04","10,007,235","632,020,463","64.90","65.50","62.00","62.60","-2.30","5,106",
"2014/12/05","7,100,328","453,254,431","63.50","64.40","63.00","63.50","+0.90","3,737",
"2014/12/08","3,710,908","235,086,671","64.00","64.50","62.40","63.50"," 0.00","2,199",
"2014/12/09","3,050,407","192,885,028","63.70","63.70","62.80","62.80","-0.70","2,012",
"2014/12/10","6,260,062","402,570,228","63.50","65.40","63.50","63.90","+1.10","3,663",
"2014/12/11","2,550,857","163,483,538","64.00","64.70","63.60","64.00","+0.10","1,607",
"2014/12/12","3,823,979","245,652,356","64.00","64.70","63.90","64.20","+0.20","2,425",
"2014/12/15","2,772,616","175,923,911","63.80","63.90","63.20","63.70","-0.50","1,846",
"2014/12/16","2,994,900","188,842,300","63.30","63.60","62.50","62.90","-0.80","1,853",
"2014/12/17","3,583,728","227,759,457","62.90","64.00","62.80","64.00","+1.10","2,181",
"2014/12/18","3,813,558","242,214,121","64.70","64.70","62.80","62.80","-1.20","2,174",
"2014/12/19","3,795,249","241,737,644","63.90","64.00","63.20","64.00","+1.20","2,329",
"2014/12/22","2,161,200","137,157,638","64.00","64.10","63.20","63.30","-0.70","1,149",
"2014/12/23","1,310,077","83,168,385","63.50","63.80","63.20","63.50","+0.20","979",
"2014/12/24","1,068,764","67,915,230","63.50","63.80","63.40","63.70","+0.20","782",
"2014/12/25","645,265","40,973,287","63.90","63.90","63.30","63.40","-0.30","416",
"2014/12/26","2,709,866","174,455,746","63.50","65.00","63.50","63.80","+0.40","1,604",
"2014/12/27","814,263","51,852,819","63.90","64.00","63.50","63.60","-0.20","487",
"2014/12/29","1,461,552","93,394,240","63.50","64.40","63.50","63.70","+0.10","1,024",
"2014/12/30","1,329,717","84,946,764","63.70","64.20","63.60","64.00","+0.30","868",
"2014/12/31","1,203,682","76,804,300","64.00","64.20","63.40","63.90","-0.10","740",
