"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/05/03","8,002,227","379,346,454","48.20","48.30","46.65","46.80","-1.70","4,387",
"2016/05/04","6,111,295","287,304,529","46.20","47.70","46.20","47.00","+0.20","3,627",
"2016/05/05","4,395,456","207,579,263","47.20","47.70","47.00","47.30","+0.30","2,858",
"2016/05/06","3,795,502","178,586,494","47.35","47.35","46.70","46.70","-0.60","2,250",
"2016/05/09","5,749,472","263,647,662","46.80","47.05","45.30","45.30","-1.40","3,242",
"2016/05/10","5,892,050","273,136,059","46.00","46.95","45.70","46.55","+1.25","3,511",
"2016/05/11","4,419,386","207,596,262","47.10","47.40","46.60","47.10","+0.55","2,802",
"2016/05/12","3,665,991","171,810,326","47.10","47.50","46.30","46.30","-0.80","2,421",
"2016/05/13","4,665,926","218,388,869","46.80","47.25","46.35","46.90","+0.60","3,211",
"2016/05/16","3,050,044","141,467,318","46.90","47.00","46.05","46.25","-0.65","2,047",
"2016/05/17","3,347,562","155,468,255","46.70","46.70","46.20","46.55","+0.30","2,284",
"2016/05/18","4,269,580","199,948,577","46.55","47.25","46.30","47.15","+0.60","3,199",
"2016/05/19","3,677,815","171,964,674","47.15","47.15","46.50","46.60","-0.55","2,477",
"2016/05/20","2,106,191","98,276,153","46.40","46.95","46.40","46.90","+0.30","1,321",
"2016/05/23","4,205,446","199,954,906","46.95","48.30","46.60","48.05","+1.15","2,704",
"2016/05/24","2,917,801","139,803,582","48.05","48.10","47.65","47.75","-0.30","2,072",
"2016/05/25","4,235,069","203,852,012","48.25","48.30","47.90","48.20","+0.45","2,967",
"2016/05/26","2,867,394","138,757,730","48.60","48.65","48.10","48.35","+0.15","1,844",
"2016/05/27","5,397,376","265,481,541","48.70","49.70","48.70","49.30","+0.95","3,009",
"2016/05/30","3,700,999","183,775,326","49.85","49.85","49.25","49.70","+0.40","2,226",
"2016/05/31","5,847,554","288,394,796","49.70","49.95","49.15","49.15","-0.55","2,183",
