"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
" 2010/03/01","11,986,671","598,619,400","49.30","50.50","49.00","50.00","+1.20","5,215",
" 2010/03/02","7,147,478","354,416,828","50.50","50.60","49.00","49.05","-0.95","3,288",
" 2010/03/03","4,558,065","224,883,706","48.95","49.70","48.60","49.50","+0.45","2,279",
" 2010/03/04","5,066,351","249,859,551","49.90","49.95","48.80","48.90","-0.60","2,312",
" 2010/03/05","3,226,318","158,464,782","49.50","49.50","48.90","48.90"," 0.00","1,646",
" 2010/03/08","9,073,102","451,246,959","49.40","50.30","49.00","49.80","+0.90","3,454",
" 2010/03/09","9,492,678","459,512,022","49.00","49.00","48.00","48.70","-1.10","4,527",
" 2010/03/10","5,736,971","278,524,034","48.60","49.00","48.30","48.45","-0.25","2,406",
" 2010/03/11","4,437,713","215,505,573","48.55","48.85","48.35","48.45"," 0.00","1,838",
" 2010/03/12","7,825,337","373,320,761","48.45","48.45","47.35","47.55","-0.90","3,600",
" 2010/03/15","8,287,334","386,322,804","47.30","47.45","46.25","46.30","-1.25","3,717",
" 2010/03/16","7,780,951","365,974,347","46.50","47.60","46.30","47.60","+1.30","3,420",
" 2010/03/17","7,190,619","343,651,393","48.00","48.10","47.50","47.70","+0.10","3,589",
" 2010/03/18","6,196,334","298,785,184","48.20","48.45","48.00","48.15","+0.45","2,757",
" 2010/03/19","8,527,744","416,685,129","48.40","49.15","48.25","48.75","+0.60","3,855",
" 2010/03/22","16,495,198","822,594,083","49.80","50.10","49.50","49.80","+1.05","6,444",
" 2010/03/23","7,539,947","375,112,462","50.30","50.30","49.30","49.40","-0.40","3,343",
" 2010/03/24","5,091,277","252,968,499","49.95","50.00","49.40","49.40"," 0.00","2,265",
" 2010/03/25","10,284,823","513,803,569","49.40","50.50","49.20","49.75","+0.35","4,273",
" 2010/03/26","10,331,359","519,820,465","50.50","50.70","50.00","50.30","+0.55","3,982",
" 2010/03/29","5,783,941","290,170,200","50.70","50.70","49.90","50.00","-0.30","2,626",
" 2010/03/30","12,083,631","612,788,850","50.50","51.50","50.20","50.20","+0.20","4,730",
" 2010/03/31","5,056,536","254,078,832","50.60","50.80","50.00","50.00","-0.20","2,182",
