"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2012/09/03","3,128,505","156,366,585","49.50","50.40","49.50","49.75","-0.25","1,707",
"2012/09/04","3,819,407","192,818,499","50.50","51.20","49.85","49.85","+0.10","2,188",
"2012/09/05","3,230,539","160,666,765","49.85","50.30","49.25","49.50","-0.35","2,190",
"2012/09/06","2,048,975","101,265,475","49.50","49.90","49.00","49.00","-0.50","1,369",
"2012/09/07","2,534,918","126,043,543","49.80","50.00","49.25","49.30","+0.30","1,438",
"2012/09/10","11,423,647","589,229,620","49.45","52.70","49.45","51.80","+2.50","5,121",
"2012/09/11","5,044,506","261,408,140","52.10","52.60","50.90","50.90","-0.90","2,682",
"2012/09/12","2,719,393","139,197,074","51.00","51.50","50.90","51.10","+0.20","1,536",
"2012/09/13","1,520,130","78,058,333","51.10","51.70","51.10","51.10"," 0.00","940",
"2012/09/14","3,119,407","162,102,054","52.20","52.50","51.60","51.80","+0.70","1,560",
"2012/09/17","2,327,717","120,684,822","52.30","52.30","51.40","51.80"," 0.00","1,110",
"2012/09/18","1,745,812","89,499,226","52.00","52.00","50.90","51.10","-0.70","969",
"2012/09/19","1,931,268","98,849,542","51.00","51.50","50.80","51.50","+0.40","1,177",
"2012/09/20","1,603,728","81,795,675","51.50","51.80","50.50","50.80","-0.70","929",
"2012/09/21","1,914,130","98,380,330","51.40","52.00","51.10","51.10","+0.30","1,183",
"2012/09/24","1,388,944","70,670,444","51.10","51.40","50.50","51.10"," 0.00","766",
"2012/09/25","1,931,810","97,825,736","51.00","51.40","50.20","50.60","-0.50","955",
"2012/09/26","1,570,196","78,699,850","50.60","50.60","49.95","50.00","-0.60","902",
"2012/09/27","1,457,118","73,263,350","50.10","50.70","49.95","50.00"," 0.00","948",
"2012/09/28","1,463,118","72,602,665","50.50","50.50","49.25","49.25","-0.75","878",
