"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2013/08/01","2,152,330","143,878,040","67.00","67.30","66.10","66.80","-0.10","1,301",
"2013/08/02","5,562,018","380,886,877","67.00","69.80","66.60","68.20","+1.40","3,121",
"2013/08/05","6,682,415","479,799,589","69.30","72.90","68.80","72.90","+4.70","3,415",
"2013/08/06","13,624,311","1,015,796,596","73.90","76.40","71.50","72.90"," 0.00","6,775",
"2013/08/07","5,013,977","361,490,567","72.70","73.20","70.90","71.50","-1.40","2,832",
"2013/08/08","4,525,157","328,487,370","71.90","73.20","71.80","73.10","+1.60","2,525",
"2013/08/09","4,261,506","312,342,632","74.00","74.40","72.00","72.30","-0.80","2,466",
"2013/08/12","4,329,316","317,747,882","73.10","73.90","72.70","73.10","+0.80","2,298",
"2013/08/13","2,686,777","196,655,985","73.60","73.80","72.80","73.80","+0.70","1,455",
"2013/08/14","2,671,955","194,842,532","73.80","73.80","72.30","72.50","-1.30","1,572",
"2013/08/15","2,010,273","144,734,227","72.00","72.50","71.50","71.90","-0.60","1,224",
"2013/08/16","1,476,139","106,649,820","71.20","72.80","71.20","72.60","+0.70","1,024",
"2013/08/19","1,673,949","120,138,352","71.60","72.40","71.50","71.60","-1.00","1,130",
"2013/08/20","7,786,949","529,146,873","71.50","71.50","66.60","66.60","-5.00","3,980",
"2013/08/22","7,418,939","482,574,047","66.00","66.20","63.80","66.20","-0.40","3,897",
"2013/08/23","3,259,858","217,818,650","66.20","67.60","65.50","66.50","+0.30","1,912",
"2013/08/26","1,788,648","117,946,753","66.80","67.00","64.70","65.70","-0.80","1,234",
"2013/08/27","1,444,087","94,699,850","65.20","66.20","65.10","65.10","-0.60","1,042",
"2013/08/28","1,979,401","128,250,441","64.30","65.30","64.30","65.20","+0.10","1,381",
"2013/08/29","1,675,950","111,569,770","65.50","66.90","65.50","66.50","+1.30","1,239",
"2013/08/30","1,725,589","114,572,528","67.00","67.10","65.80","66.50"," 0.00","1,088",
