"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
" 2010/01/04","5,532,898","140,054,095","25.60","25.90","25.00","25.40","-0.20","1,421",
" 2010/01/05","9,172,997","236,593,564","25.70","26.15","25.40","25.60","+0.20","2,680",
" 2010/01/06","30,895,128","834,854,239","26.00","27.35","26.00","27.35","+1.75","7,345",
" 2010/01/07","39,403,078","1,119,563,600","28.00","28.90","27.65","28.10","+0.75","10,027",
" 2010/01/08","42,586,554","1,251,930,782","28.80","30.05","28.60","29.75","+1.65","10,146",
" 2010/01/11","26,443,404","780,180,247","29.85","30.15","29.00","29.35","-0.40","6,854",
" 2010/01/12","17,400,439","502,526,062","29.25","29.30","28.40","29.15","-0.20","4,452",
" 2010/01/13","11,802,923","334,615,389","28.60","28.95","27.85","27.85","-1.30","3,573",
" 2010/01/14","15,675,553","444,869,197","28.00","28.65","27.95","28.30","+0.45","3,509",
" 2010/01/15","10,762,489","307,014,866","28.45","28.80","28.20","28.30"," 0.00","2,843",
" 2010/01/18","10,956,817","314,701,950","28.30","29.15","28.30","28.95","+0.65","2,992",
" 2010/01/19","19,862,062","575,559,838","29.40","29.40","28.60","29.00","+0.05","3,544",
" 2010/01/20","6,869,020","198,888,259","29.30","29.35","28.50","29.00"," 0.00","1,719",
" 2010/01/21","10,924,098","307,876,600","29.00","29.20","27.20","27.85","-1.15","3,138",
" 2010/01/22","9,791,459","264,868,620","27.75","27.75","26.15","27.40","-0.45","2,339",
" 2010/01/25","4,089,364","109,628,602","26.80","27.15","26.45","26.55","-0.85","1,321",
" 2010/01/26","8,347,467","217,646,969","26.80","27.00","25.00","25.40","-1.15","2,386",
" 2010/01/27","3,958,634","100,736,150","25.75","25.80","25.05","25.30","-0.10","1,352",
" 2010/01/28","2,278,804","58,658,398","25.40","25.95","25.40","25.95","+0.65","798",
" 2010/01/29","8,046,176","195,561,874","25.50","25.50","24.15","24.30","-1.65","2,526",
" 2010/02/01","5,483,371","132,813,022","24.30","24.65","23.80","24.50","+0.20","1,664",
" 2010/02/02","5,135,354","127,131,262","24.90","25.15","24.25","24.35","-0.15","1,963",
" 2010/02/03","3,347,373","82,202,319","24.70","24.80","24.40","24.60","+0.25","830",
" 2010/02/04","3,307,163","81,002,908","24.50","24.75","24.15","24.65","+0.05","1,028",
" 2010/02/05","8,631,721","199,651,741","23.80","24.00","22.95","22.95","-1.70","1,994",
" 2010/02/06","2,985,612","68,318,578","22.95","23.20","22.00","23.10","+0.15","1,025",
" 2010/02/08","2,990,579","70,386,927","23.80","23.90","23.20","23.25","+0.15","1,152",
" 2010/02/09","2,704,489","64,511,428","23.30","24.20","23.15","24.20","+0.95","1,049",
" 2010/02/10","5,911,613","147,447,430","24.50","25.50","24.30","25.10","+0.90","1,678",
" 2010/02/22","2,836,856","71,826,506","26.00","26.00","24.90","25.00","-0.10","911",
" 2010/02/23","4,105,041","104,271,944","25.00","25.75","25.00","25.65","+0.65","1,453",
" 2010/02/24","2,370,192","60,421,360","25.20","25.75","25.20","25.75","+0.10","564",
" 2010/02/25","5,527,208","142,775,509","26.00","26.00","25.65","25.80","+0.05","1,243",
" 2010/02/26","1,897,959","48,664,851","26.00","26.00","25.35","25.45","-0.35","566",
" 2010/03/01","9,499,474","253,851,226","25.90","27.20","25.80","27.20","+1.75","2,314",
" 2010/03/02","5,085,610","137,145,723","27.20","27.40","26.65","26.85","-0.35","1,287",
