"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2011/07/01","3,796,200","446,425,000","119.00","119.00","115.50","119.00","+2.00","1,967",
"2011/07/04","2,166,210","256,016,885","120.00","120.00","117.00","117.50","-1.50","1,391",
"2011/07/05","2,722,450","323,830,900","117.50","120.50","116.00","120.00","+2.50","1,809",
"2011/07/06","4,532,418","566,799,168","123.00","126.50","121.50","126.00","+6.00","2,548",
"2011/07/07","3,483,157","433,768,887","128.00","128.00","123.00","123.50","-2.50","1,887",
"2011/07/08","2,523,678","311,158,394","125.00","125.00","121.00","123.00","-0.50","1,689",
"2011/07/11","3,766,170","451,595,985","123.00","123.00","118.00","119.00","-4.00","1,944",
"2011/07/12","4,841,740","570,905,080","118.00","121.00","116.50","116.50","-2.50","2,549",
"2011/07/13","4,494,281","497,061,972","110.00","112.00","109.00","111.00","X0.00","2,395",
"2011/07/14","2,652,442","293,584,678","113.00","113.00","107.50","110.00","-1.00","1,552",
"2011/07/15","2,408,654","271,527,383","110.00","115.50","109.00","114.50","+4.50","1,610",
"2011/07/18","2,341,349","267,735,437","114.50","116.00","113.00","113.00","-1.50","1,432",
"2011/07/19","1,430,419","161,931,266","113.00","114.50","111.50","113.00"," 0.00","1,135",
"2011/07/20","6,464,985","766,841,192","115.00","120.50","114.50","120.50","+7.50","3,514",
"2011/07/21","8,540,428","1,073,617,279","122.50","128.50","122.50","124.50","+4.00","4,516",
"2011/07/22","5,512,967","687,421,421","127.00","127.50","122.50","123.50","-1.00","3,235",
"2011/07/25","6,191,886","785,741,522","123.50","130.00","122.50","126.50","+3.00","3,668",
"2011/07/26","8,266,742","1,072,192,718","128.00","132.00","127.00","129.00","+2.50","4,700",
"2011/07/27","5,266,506","671,270,762","129.00","129.50","125.50","127.00","-2.00","2,902",
"2011/07/28","3,628,100","463,225,750","127.00","130.00","125.00","127.50","+0.50","2,319",
"2011/07/29","6,694,515","870,441,935","130.00","133.00","127.50","128.00","+0.50","3,897",
