"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
" 2010/11/01","1,257,230","100,884,230","80.00","81.00","79.50","80.10","+1.30","895",
" 2010/11/02","2,854,670","236,243,307","81.50","84.00","80.50","82.70","+2.60","1,652",
" 2010/11/03","2,289,056","190,187,363","84.00","84.00","82.00","83.10","+0.40","1,416",
" 2010/11/04","1,466,152","120,871,253","83.30","83.40","81.60","82.60","-0.50","970",
" 2010/11/05","2,805,960","238,888,375","85.00","86.40","84.00","85.60","+3.00","1,723",
" 2010/11/08","3,279,102","291,622,480","86.00","91.10","86.00","89.80","+4.20","2,099",
" 2010/11/09","2,101,510","188,614,710","90.00","91.00","89.00","89.70","-0.10","1,329",
" 2010/11/10","1,833,220","161,422,579","89.50","90.20","87.10","88.10","-1.60","1,244",
" 2010/11/11","1,865,210","163,694,790","88.10","89.30","86.60","88.80","+0.70","1,175",
" 2010/11/12","1,727,899","152,882,441","88.90","89.80","87.40","88.20","-0.60","1,118",
" 2010/11/15","2,009,396","172,051,600","88.20","88.20","84.50","84.50","-3.70","1,222",
" 2010/11/16","1,042,039","88,270,338","84.50","85.80","84.00","85.00","+0.50","768",
" 2010/11/17","1,166,600","97,955,800","84.00","84.50","83.50","84.20","-0.80","755",
" 2010/11/18","943,242","79,552,690","84.20","85.00","83.70","84.90","+0.70","651",
" 2010/11/19","849,234","72,065,271","86.20","86.20","84.00","84.20","-0.70","690",
" 2010/11/22","851,200","71,718,220","84.90","85.00","83.80","84.40","+0.20","604",
" 2010/11/23","1,784,330","147,803,057","84.40","84.40","81.60","82.10","-2.30","1,163",
" 2010/11/24","889,000","73,103,800","81.50","83.20","81.50","82.90","+0.80","676",
" 2010/11/25","1,232,070","102,527,515","83.50","83.90","82.70","83.70","+0.80","782",
" 2010/11/26","2,147,500","176,160,249","83.10","83.20","81.30","81.30","-2.40","1,181",
" 2010/11/29","1,555,530","125,735,576","81.50","82.20","79.50","80.90","-0.40","953",
" 2010/11/30","1,595,025","131,232,882","80.90","83.10","80.90","82.50","+1.60","948",
