"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2015/01/05","2,842,933","122,244,519","43.40","43.40","42.80","43.00","-0.40","1,489",
"2015/01/06","7,654,419","324,150,031","42.50","42.60","42.10","42.25","-0.75","3,660",
"2015/01/07","8,719,024","368,171,551","42.25","42.55","41.85","42.10","-0.15","3,348",
"2015/01/08","8,697,776","369,425,923","42.25","42.65","42.10","42.25","+0.15","3,700",
"2015/01/09","10,494,129","441,333,468","42.30","42.60","41.80","41.80","-0.45","3,975",
"2015/01/12","14,743,805","605,441,072","41.60","41.70","40.60","40.75","-1.05","6,779",
"2015/01/13","9,078,712","373,745,434","40.70","41.40","40.50","41.30","+0.55","4,133",
"2015/01/14","10,408,761","428,298,461","41.30","41.70","40.90","41.30"," 0.00","4,576",
"2015/01/15","7,820,632","324,407,319","41.30","41.70","41.15","41.45","+0.15","2,787",
"2015/01/16","13,346,241","550,440,143","41.45","41.65","41.00","41.45"," 0.00","3,658",
"2015/01/19","9,378,707","392,959,219","41.70","42.25","41.55","41.70","+0.25","3,752",
"2015/01/20","9,046,317","378,587,229","41.70","42.00","41.35","41.80","+0.10","3,676",
"2015/01/21","9,839,094","409,902,540","42.00","42.10","41.50","41.60","-0.20","4,069",
"2015/01/22","7,736,900","324,570,454","41.60","42.15","41.55","42.00","+0.40","3,129",
"2015/01/23","6,099,711","257,185,590","42.30","42.30","42.05","42.25","+0.25","2,529",
"2015/01/26","4,801,173","203,249,203","42.25","42.50","42.05","42.50","+0.25","2,321",
"2015/01/27","5,134,639","218,900,662","42.65","42.70","42.50","42.70","+0.20","2,127",
"2015/01/28","5,952,553","254,396,681","42.50","42.95","42.50","42.95","+0.25","3,218",
"2015/01/29","8,902,479","377,651,751","42.70","42.75","42.10","42.10","-0.85","2,963",
"2015/01/30","10,361,097","441,412,912","42.45","42.90","42.30","42.60","+0.50","2,758",
