"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2012/07/02","9,260,980","325,896,187","34.10","35.70","34.10","35.10","-0.25","3,807",
"2012/07/03","14,937,161","537,119,415","35.60","36.25","35.40","36.15","+1.05","3,398",
"2012/07/04","7,013,417","253,717,613","36.25","36.30","36.05","36.20","+0.05","2,159",
"2012/07/05","8,502,914","303,539,010","35.70","35.90","35.40","35.90","-0.30","2,073",
"2012/07/06","8,956,752","323,971,136","36.00","36.30","35.80","36.30","+0.40","2,804",
"2012/07/09","6,223,631","225,575,000","35.80","36.40","35.80","36.30"," 0.00","2,220",
"2012/07/10","7,577,871","272,803,673","36.10","36.25","35.75","36.00","-0.30","2,296",
"2012/07/11","14,409,293","525,525,077","35.55","36.90","35.55","36.90","+0.90","4,201",
"2012/07/12","6,252,890","226,983,808","36.90","36.90","36.10","36.20","-0.70","2,205",
"2012/07/13","7,976,263","289,983,885","36.20","36.60","36.15","36.25","+0.05","2,790",
"2012/07/16","5,997,584","217,257,343","36.25","36.40","36.00","36.25"," 0.00","1,759",
"2012/07/17","8,680,505","313,936,690","35.90","36.40","35.90","36.25"," 0.00","3,170",
"2012/07/18","7,248,828","260,979,424","36.00","36.25","35.85","36.05","-0.20","2,941",
"2012/07/19","10,420,509","381,874,534","36.45","36.90","36.10","36.85","+0.80","3,343",
"2012/07/20","6,998,471","258,125,512","36.90","37.00","36.60","37.00","+0.15","2,835",
"2012/07/23","4,741,121","172,634,846","36.90","36.90","36.20","36.40","-0.60","1,932",
"2012/07/24","7,365,714","265,663,178","36.05","36.25","36.00","36.15","-0.25","2,035",
"2012/07/25","15,527,387","554,482,468","35.60","36.00","35.35","35.40","-0.75","4,571",
"2012/07/26","7,169,848","242,509,316","33.70","34.00","33.65","33.65","X0.00","2,238",
"2012/07/27","7,962,338","274,230,415","34.10","34.85","34.05","34.85","+1.20","2,768",
"2012/07/30","8,597,089","300,797,844","35.00","35.30","34.85","35.10","+0.25","2,558",
"2012/07/31","6,521,071","228,412,658","35.00","35.20","34.85","34.90","-0.20","2,384",
