"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/05/02","7,304,571","394,203,334","54.10","54.50","53.60","53.60","-0.50","3,508",
"2018/05/03","10,122,134","535,983,702","53.50","53.50","52.60","52.70","-0.90","5,659",
"2018/05/04","9,035,040","476,012,520","52.50","53.10","52.30","52.80","+0.10","3,101",
"2018/05/07","3,353,534","178,196,998","53.10","53.50","52.80","53.10","+0.30","1,966",
"2018/05/08","6,892,100","364,498,596","53.10","53.10","52.70","52.80","-0.30","2,806",
"2018/05/09","11,352,813","594,906,048","52.60","52.70","52.20","52.40","-0.40","3,993",
"2018/05/10","5,849,061","309,193,731","52.50","53.10","52.40","52.90","+0.50","2,716",
"2018/05/11","6,297,627","334,792,771","53.00","53.40","53.00","53.10","+0.20","2,674",
"2018/05/14","17,435,546","904,535,290","53.10","53.10","51.10","52.10","-1.00","6,977",
"2018/05/15","9,557,515","497,729,383","52.00","52.90","51.50","52.50","+0.40","4,207",
"2018/05/16","6,713,081","351,583,771","52.60","52.60","52.10","52.60","+0.10","2,696",
"2018/05/17","7,758,055","411,669,913","52.80","53.30","52.70","52.90","+0.30","3,245",
"2018/05/18","6,113,523","322,069,753","53.00","53.10","52.50","52.60","-0.30","3,269",
"2018/05/21","6,268,907","332,048,771","52.60","53.20","52.60","52.90","+0.30","2,249",
"2018/05/22","14,228,448","778,943,911","53.50","55.40","53.50","55.00","+2.10","6,805",
"2018/05/23","12,458,222","667,877,664","54.80","54.80","53.00","53.00","-2.00","6,341",
"2018/05/24","4,233,233","226,372,127","53.50","53.80","53.20","53.50","+0.50","1,796",
"2018/05/25","7,286,722","388,697,135","53.40","53.50","53.10","53.40","-0.10","2,179",
"2018/05/28","8,191,701","440,352,167","53.80","54.50","53.40","53.60","+0.20","3,693",
"2018/05/29","3,804,761","204,979,794","53.90","54.10","53.60","53.90","+0.30","2,046",
"2018/05/30","7,937,270","424,477,160","53.60","53.80","53.20","53.40","-0.50","3,262",
"2018/05/31","13,893,910","738,937,985","53.70","53.70","53.00","53.00","-0.40","3,740",
