"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/12/03","12,611,714","634,179,199","50.30","50.60","50.00","50.30","+0.35","4,785",
"2018/12/04","9,414,739","474,624,185","50.30","50.80","50.00","50.30"," 0.00","2,949",
"2018/12/05","4,270,109","212,356,777","49.75","49.95","49.40","49.75","-0.55","2,776",
"2018/12/06","6,866,078","336,273,853","49.75","49.75","48.70","48.80","-0.95","3,943",
"2018/12/07","2,520,505","123,884,564","49.05","49.30","49.00","49.05","+0.25","1,259",
"2018/12/10","2,456,717","119,757,563","48.70","48.95","48.50","48.85","-0.20","1,411",
"2018/12/11","4,861,318","242,152,065","49.35","50.10","49.35","50.10","+1.25","2,585",
"2018/12/12","4,459,360","224,878,073","50.50","50.50","50.10","50.50","+0.40","2,119",
"2018/12/13","5,151,083","262,390,131","50.60","51.10","50.40","51.10","+0.60","2,753",
"2018/12/14","3,113,131","157,779,145","51.10","51.20","50.20","50.80","-0.30","1,952",
"2018/12/17","3,203,100","163,518,977","51.20","51.30","50.80","50.90","+0.10","1,446",
"2018/12/18","3,847,551","194,124,561","50.40","50.80","50.20","50.50","-0.40","1,871",
"2018/12/19","4,698,875","238,291,325","50.80","51.20","50.50","51.20","+0.70","2,349",
"2018/12/20","8,096,112","419,127,450","51.20","52.30","51.20","51.70","+0.50","3,959",
"2018/12/21","7,328,947","375,338,601","51.90","52.00","50.80","50.90","-0.80","2,123",
"2018/12/22","1,122,886","57,603,733","50.90","51.50","50.90","51.40","+0.50","696",
"2018/12/24","3,558,309","184,648,593","51.30","52.20","51.30","51.80","+0.40","1,876",
"2018/12/25","2,578,787","132,179,387","51.60","51.60","50.90","51.10","-0.70","1,095",
"2018/12/26","2,217,757","114,410,324","51.30","51.80","51.20","51.60","+0.50","1,129",
"2018/12/27","4,679,843","243,001,911","52.00","52.40","51.60","51.70","+0.10","2,016",
"2018/12/28","6,739,681","352,927,841","51.80","52.70","51.80","52.70","+1.00","2,690",
