"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2011/08/01","11,378,821","2,928,978,497","261.00","263.00","254.50","255.00","-3.50","7,645",
"2011/08/02","14,438,602","3,689,839,020","251.00","261.00","249.00","258.50","+3.50","8,688",
"2011/08/03","13,579,041","3,436,298,363","252.50","255.50","250.00","251.50","-7.00","7,587",
"2011/08/04","15,798,295","3,888,873,583","252.00","254.50","237.50","237.50","-14.00","10,815",
"2011/08/05","25,367,986","5,715,994,822","221.00","232.00","221.00","224.00","-13.50","15,689",
"2011/08/08","17,489,822","4,029,431,026","233.00","235.00","225.00","231.00","+7.00","11,651",
"2011/08/09","23,448,480","5,539,620,060","221.00","247.00","221.00","247.00","+16.00","14,578",
"2011/08/10","21,952,670","5,629,274,860","255.00","261.00","253.00","256.00","+9.00","13,534",
"2011/08/11","20,311,954","5,274,091,864","252.50","264.50","252.50","264.00","+8.00","13,446",
"2011/08/12","16,479,544","4,358,858,896","269.00","271.50","256.50","257.00","-7.00","11,899",
"2011/08/15","8,912,734","2,360,035,212","265.00","267.50","261.00","266.50","+9.50","6,434",
"2011/08/16","8,499,729","2,255,494,569","269.00","270.00","262.50","262.50","-4.00","6,201",
"2011/08/17","10,564,988","2,731,721,890","262.50","265.00","255.50","256.00","-6.50","7,517",
"2011/08/18","10,803,093","2,777,574,715","253.00","261.00","253.00","254.00","-2.00","7,434",
"2011/08/19","13,045,549","3,283,673,397","250.00","257.00","246.00","252.00","-2.00","9,250",
"2011/08/22","18,843,326","4,988,789,194","260.00","269.50","255.00","269.00","+17.00","13,109",
"2011/08/23","17,295,524","4,654,749,552","270.00","273.00","264.00","272.00","+3.00","11,283",
"2011/08/24","27,476,645","7,685,435,600","274.50","283.00","274.50","280.00","+8.00","17,302",
"2011/08/25","23,231,442","6,659,624,702","285.00","291.50","281.00","281.00","+1.00","15,658",
"2011/08/26","18,758,033","5,394,532,592","285.00","292.50","282.00","292.50","+11.50","12,986",
"2011/08/29","11,909,440","3,452,343,100","292.50","292.50","287.50","289.00","-3.50","7,447",
"2011/08/30","17,084,126","5,018,654,201","291.00","298.00","288.50","290.00","+1.00","10,511",
"2011/08/31","12,124,304","3,525,118,082","293.00","294.00","286.50","291.50","+1.50","8,402",
