"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
" 2010/12/01","6,347,377","2,487,050,038","391.50","395.50","390.00","391.50","+1.00","4,924",
" 2010/12/02","10,379,385","4,127,516,075","395.00","402.00","394.00","395.00","+3.50","7,613",
" 2010/12/03","32,647,779","13,503,347,561","402.00","422.50","402.00","422.50","+27.50","22,884",
" 2010/12/06","21,020,234","8,993,585,716","430.00","433.50","423.00","423.50","+1.00","14,414",
" 2010/12/07","9,579,206","4,007,407,291","419.00","422.00","415.00","419.50","-4.00","7,320",
" 2010/12/08","12,966,076","5,541,688,224","420.00","432.50","420.00","424.00","+4.50","9,665",
" 2010/12/09","9,424,864","4,034,131,455","430.00","431.50","425.50","426.00","+2.00","6,815",
" 2010/12/10","9,570,150","4,025,098,500","426.00","429.00","416.00","418.00","-8.00","7,364",
" 2010/12/13","8,285,990","3,528,068,720","421.00","429.50","418.50","428.00","+10.00","6,424",
" 2010/12/14","13,759,498","5,944,819,138","431.00","436.50","427.00","431.00","+3.00","9,838",
" 2010/12/15","7,887,662","3,367,597,139","433.00","434.50","423.00","427.00","-4.00","6,058",
" 2010/12/16","5,983,928","2,533,637,044","428.00","428.00","421.00","421.50","-5.50","4,559",
" 2010/12/17","11,474,660","4,937,299,960","426.00","436.00","424.50","432.00","+10.50","8,632",
" 2010/12/20","6,307,558","2,721,629,186","437.00","437.00","428.00","430.00","-2.00","4,703",
" 2010/12/21","4,562,232","1,976,536,920","435.00","435.00","430.50","434.00","+4.00","3,546",
" 2010/12/22","8,916,811","3,835,665,230","434.00","436.00","428.00","428.50","-5.50","6,337",
" 2010/12/23","5,122,043","2,201,503,519","430.00","433.00","426.00","431.50","+3.00","4,137",
" 2010/12/24","6,707,022","2,865,637,830","433.50","435.00","423.50","423.50","-8.00","5,288",
" 2010/12/27","8,432,357","3,510,259,660","423.00","424.00","412.00","413.00","-10.50","6,637",
" 2010/12/28","6,103,756","2,532,716,996","413.50","418.50","411.00","414.00","+1.00","4,390",
" 2010/12/29","6,311,061","2,604,619,571","415.00","417.50","410.00","410.00","-4.00","4,645",
" 2010/12/30","5,667,902","2,319,510,320","412.00","414.00","407.00","407.50","-2.50","4,362",
" 2010/12/31","6,674,112","2,775,192,337","410.00","421.50","409.00","417.50","+10.00","5,291",
