"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2011/11/01","12,070,902","3,880,734,563","318.00","326.00","318.00","319.50","+1.50","8,914",
"2011/11/02","10,046,090","3,228,374,620","315.00","326.00","314.00","326.00","+6.50","7,352",
"2011/11/03","13,669,780","4,336,710,640","324.50","325.50","311.00","311.00","-15.00","10,428",
"2011/11/04","9,965,812","3,187,546,152","320.00","322.00","316.50","321.00","+10.00","6,915",
"2011/11/07","4,674,874","1,493,175,847","321.00","323.00","317.50","317.50","-3.50","3,574",
"2011/11/08","5,140,198","1,636,491,464","321.00","322.00","316.00","317.00","-0.50","3,935",
"2011/11/09","6,700,327","2,152,106,120","321.00","325.00","318.00","318.00","+1.00","5,083",
"2011/11/10","10,006,727","3,108,275,824","311.00","315.00","307.00","309.50","-8.50","7,657",
"2011/11/11","10,153,193","3,165,278,682","312.00","317.00","307.00","312.50","+3.00","7,039",
"2011/11/14","7,356,462","2,358,252,802","317.00","323.00","316.50","321.00","+8.50","5,533",
"2011/11/15","6,232,665","1,978,838,782","320.00","323.00","314.50","315.00","-6.00","4,810",
"2011/11/16","11,649,454","3,604,125,832","315.50","317.50","306.00","306.00","-9.00","9,170",
"2011/11/17","11,419,149","3,466,923,690","301.00","308.50","298.00","308.50","+2.50","8,449",
"2011/11/18","7,482,780","2,305,842,300","306.50","312.00","303.50","308.00","-0.50","5,258",
"2011/11/21","9,426,391","2,881,515,350","308.00","312.00","301.00","301.00","-7.00","7,283",
"2011/11/22","15,578,370","4,600,244,170","303.00","305.00","289.00","289.00","-12.00","11,403",
"2011/11/23","10,518,074","3,029,936,164","285.50","292.00","284.00","284.00","-5.00","7,890",
"2011/11/24","17,311,686","4,785,747,949","284.00","284.00","268.00","273.50","-10.50","11,730",
"2011/11/25","12,853,349","3,580,940,975","282.00","288.00","271.50","273.50"," 0.00","9,396",
"2011/11/28","8,669,732","2,417,660,424","275.50","284.00","274.00","281.00","+7.50","6,476",
"2011/11/29","7,712,499","2,173,988,215","283.00","285.00","279.00","282.50","+1.50","5,397",
"2011/11/30","11,823,180","3,321,545,630","283.00","287.00","278.00","279.50","-3.00","6,638",
