"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/11/01","15,054,322","5,176,528,308","350.50","350.50","338.00","338.00","-4.50","8,559",
"2017/11/02","6,886,834","2,336,399,326","337.50","344.00","336.00","336.00","-2.00","4,718",
"2017/11/03","8,852,838","2,975,522,230","338.00","341.50","332.00","335.00","-1.00","5,161",
"2017/11/06","13,289,766","4,353,238,084","331.50","332.50","323.00","328.00","-7.00","8,669",
"2017/11/07","7,730,251","2,591,975,087","330.00","338.50","330.00","337.50","+9.50","5,272",
"2017/11/08","4,695,375","1,573,995,883","337.00","339.00","332.00","336.50","-1.00","3,363",
"2017/11/09","5,447,287","1,825,128,124","336.50","341.00","328.00","331.00","-5.50","3,623",
"2017/11/10","15,697,597","4,987,805,622","323.00","326.00","307.50","326.00","-5.00","10,531",
"2017/11/13","6,588,631","2,106,835,806","323.50","324.50","317.50","317.50","-8.50","4,900",
"2017/11/14","8,063,450","2,632,417,200","326.00","332.50","322.00","326.00","+8.50","5,227",
"2017/11/15","5,848,318","1,883,858,542","323.00","325.00","319.00","322.00","-4.00","4,705",
"2017/11/16","4,947,048","1,592,993,908","322.00","325.00","319.50","320.50","-1.50","2,948",
"2017/11/17","6,854,773","2,249,715,139","327.00","330.00","325.00","329.50","+9.00","4,451",
"2017/11/20","6,000,173","1,941,212,779","334.00","334.00","319.00","320.00","-9.50","4,423",
"2017/11/21","6,266,273","1,995,569,406","320.50","323.50","316.00","322.00","+2.00","4,530",
"2017/11/22","7,428,234","2,434,423,050","324.00","332.00","322.50","327.00","+5.00","5,206",
"2017/11/23","4,118,085","1,358,007,795","331.50","333.50","326.50","327.00"," 0.00","2,813",
"2017/11/24","3,238,485","1,058,239,110","330.00","330.00","324.00","326.00","-1.00","2,272",
"2017/11/27","3,919,596","1,287,078,180","328.00","331.00","324.50","330.50","+4.50","2,852",
"2017/11/28","7,460,233","2,483,879,623","337.00","337.00","328.50","331.00","+0.50","4,714",
"2017/11/29","4,521,461","1,511,199,013","334.50","336.50","332.00","334.50","+3.50","3,139",
"2017/11/30","10,532,780","3,458,722,680","336.00","336.50","318.50","326.00","-8.50","5,254",
