"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2011/05/03","16,696,637","5,524,776,438","322.50","338.50","321.00","337.50","+21.00","11,731",
"2011/05/04","11,975,204","4,123,452,676","343.00","347.00","340.00","344.00","+6.50","8,189",
"2011/05/05","12,781,382","4,425,207,700","347.00","348.50","340.50","347.50","+3.50","6,462",
"2011/05/06","7,285,408","2,511,360,484","347.50","347.50","341.50","347.50"," 0.00","5,259",
"2011/05/09","16,802,416","6,009,593,760","348.50","362.50","348.00","360.00","+12.50","12,050",
"2011/05/10","6,611,992","2,344,085,626","358.00","358.00","352.50","352.50","-7.50","5,325",
"2011/05/11","6,421,282","2,269,886,200","354.00","358.50","350.00","350.00","-2.50","4,655",
"2011/05/12","5,291,815","1,858,372,127","348.00","354.00","347.50","352.50","+2.50","3,492",
"2011/05/13","8,615,163","3,060,491,039","352.00","362.00","349.00","352.50"," 0.00","6,516",
"2011/05/16","5,443,483","1,907,544,823","355.00","357.00","345.50","345.50","-7.00","4,203",
"2011/05/17","11,973,668","4,047,471,688","342.00","344.50","334.50","334.50","-11.00","8,620",
"2011/05/18","4,107,464","1,389,159,152","336.00","340.00","336.00","340.00","+5.50","3,197",
"2011/05/19","6,643,530","2,226,215,930","340.00","342.00","328.50","330.00","-10.00","5,273",
"2011/05/20","8,679,388","2,804,656,160","329.00","330.00","318.00","318.00","-12.00","6,484",
"2011/05/23","9,455,408","2,944,280,796","312.50","314.50","310.00","310.00","-8.00","6,964",
"2011/05/24","7,611,896","2,414,032,136","314.00","323.00","314.00","314.00","+4.00","5,730",
"2011/05/25","5,023,833","1,571,616,896","313.00","317.50","310.00","310.00","-4.00","3,930",
"2011/05/26","7,357,242","2,275,979,020","314.00","314.50","305.50","307.50","-2.50","5,556",
"2011/05/27","8,553,020","2,651,744,720","307.50","313.50","307.50","309.50","+2.00","5,752",
"2011/05/30","6,179,084","1,950,694,796","314.50","319.00","312.00","317.00","+7.50","4,654",
"2011/05/31","7,353,069","2,355,225,149","320.00","322.00","318.00","320.00","+3.00","4,675",
