"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
" 2010/08/02","18,337,749","7,731,117,317","420.00","432.00","413.00","430.50","-3.00","12,343",
" 2010/08/03","14,357,421","6,343,231,014","435.00","447.50","435.00","438.00","+7.50","8,615",
" 2010/08/04","9,584,444","4,207,858,248","445.00","445.00","435.50","438.50","+0.50","6,112",
" 2010/08/05","6,904,242","3,039,946,480","442.00","444.00","437.50","438.00","-0.50","4,985",
" 2010/08/06","8,815,464","3,913,213,408","440.00","447.00","439.00","444.50","+6.50","5,735",
" 2010/08/09","11,714,893","5,371,050,459","446.00","467.00","446.00","463.00","+18.50","8,874",
" 2010/08/10","9,322,525","4,254,588,090","464.00","464.00","452.00","453.00","-10.00","6,146",
" 2010/08/11","8,582,875","3,925,293,125","453.00","461.50","452.00","455.00","+2.00","5,601",
" 2010/08/12","6,138,529","2,805,864,869","460.00","460.00","452.50","459.00","+4.00","3,824",
" 2010/08/13","7,128,496","3,286,812,515","459.00","464.00","457.50","460.00","+1.00","4,239",
" 2010/08/16","4,960,896","2,272,151,556","459.00","463.50","454.00","460.00"," 0.00","3,418",
" 2010/08/17","5,428,370","2,497,837,720","461.50","465.00","456.00","456.00","-4.00","3,581",
" 2010/08/18","9,810,485","4,497,678,630","460.00","463.00","455.00","457.00","+1.00","5,118",
" 2010/08/19","5,570,272","2,557,592,140","457.00","461.50","456.00","458.00","+1.00","3,225",
" 2010/08/20","4,224,032","1,927,751,124","457.00","461.50","453.00","453.00","-5.00","3,122",
" 2010/08/23","5,790,043","2,608,104,807","450.00","455.00","446.00","448.00","-5.00","4,326",
" 2010/08/24","4,429,523","1,997,261,850","453.00","456.00","447.00","447.00","-1.00","3,052",
" 2010/08/25","10,436,862","4,559,373,608","446.00","446.00","431.00","431.00","-16.00","6,614",
" 2010/08/26","4,825,347","2,115,114,027","433.00","443.50","433.00","438.00","+7.00","3,616",
" 2010/08/27","4,939,682","2,160,976,216","441.00","444.00","433.00","436.50","-1.50","4,015",
" 2010/08/30","6,882,030","2,973,440,300","435.00","436.50","428.00","435.50","-1.00","5,187",
" 2010/08/31","6,213,614","2,699,682,933","430.50","441.50","428.00","436.50","+1.00","4,794",
