"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2015/07/01","4,028,967","1,724,941,442","424.00","430.00","424.00","427.50","+5.50","3,049",
"2015/07/02","4,624,848","1,959,362,356","424.50","427.00","421.00","421.00","-6.50","3,306",
"2015/07/03","5,004,056","2,113,086,410","420.00","426.00","418.50","426.00","+5.00","3,201",
"2015/07/06","3,567,422","1,501,428,740","421.00","424.50","419.00","419.00","-7.00","2,157",
"2015/07/07","5,645,688","2,360,765,416","418.00","422.00","413.50","418.00","-1.00","3,521",
"2015/07/08","11,558,667","4,668,978,293","414.50","415.00","400.00","403.00","-15.00","6,870",
"2015/07/09","13,759,886","5,422,143,172","390.00","402.00","387.00","400.00","-3.00","8,034",
"2015/07/13","8,055,909","3,184,211,282","391.00","400.00","391.00","398.00","-2.00","5,388",
"2015/07/14","12,372,724","4,863,091,261","396.00","400.00","389.00","389.00","-9.00","7,486",
"2015/07/15","9,519,977","3,559,737,375","375.50","377.50","372.00","373.00","X0.00","6,260",
"2015/07/16","6,978,722","2,579,060,584","374.00","375.50","366.00","369.00","-4.00","4,555",
"2015/07/17","6,857,917","2,502,739,159","369.00","369.50","362.50","365.00","-4.00","4,362",
"2015/07/20","16,709,704","5,875,356,129","365.50","366.50","336.00","346.50","-18.50","9,673",
"2015/07/21","7,237,429","2,545,040,346","342.50","357.00","342.50","357.00","+10.50","5,169",
"2015/07/22","5,982,530","2,099,395,590","351.00","354.00","348.00","350.50","-6.50","4,025",
"2015/07/23","8,560,454","2,946,057,676","350.50","352.50","338.50","342.00","-8.50","5,706",
"2015/07/24","11,200,775","3,715,902,975","340.00","342.00","326.00","326.00","-16.00","7,434",
"2015/07/27","10,714,333","3,480,927,680","326.00","333.50","317.50","317.50","-8.50","6,323",
"2015/07/28","8,135,449","2,630,633,297","320.00","328.00","320.00","321.50","+4.00","5,769",
"2015/07/29","6,267,002","2,031,135,150","322.00","329.00","321.00","322.50","+1.00","4,559",
"2015/07/30","8,072,432","2,652,361,468","331.00","333.00","325.00","327.00","+4.50","4,975",
"2015/07/31","7,589,847","2,490,450,357","327.00","332.00","322.00","332.00","+5.00","4,517",
