"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2013/01/02","282,697","22,882,757","81.00","81.50","80.20","81.50","+0.70","237",
"2013/01/03","254,019","20,664,853","81.50","82.00","80.80","82.00","+0.50","188",
"2013/01/04","242,212","19,683,128","82.00","82.00","81.00","81.30","-0.70","213",
"2013/01/07","238,549","19,403,532","81.40","81.90","80.50","81.80","+0.50","175",
"2013/01/08","209,512","17,042,966","80.90","82.00","80.30","81.00","-0.80","142",
"2013/01/09","195,777","15,909,147","81.50","81.90","80.90","81.00"," 0.00","149",
"2013/01/10","399,042","32,056,787","79.80","81.00","79.60","80.90","-0.10","331",
"2013/01/11","245,853","19,734,265","80.90","80.90","79.80","80.50","-0.40","166",
"2013/01/14","184,343","14,767,940","80.40","81.00","79.50","80.10","-0.40","147",
"2013/01/15","365,157","29,508,683","80.50","81.20","80.30","81.20","+1.10","285",
"2013/01/16","450,210","36,566,566","81.50","81.60","80.60","81.20"," 0.00","352",
"2013/01/17","376,460","30,640,204","81.80","81.80","80.80","81.20"," 0.00","313",
"2013/01/18","162,227","13,153,531","81.50","81.50","80.50","81.50","+0.30","138",
"2013/01/21","118,912","9,620,560","81.20","81.30","80.40","81.20","-0.30","101",
"2013/01/22","233,157","18,971,284","80.90","81.90","80.50","81.30","+0.10","163",
"2013/01/23","151,100","12,265,328","81.30","81.50","80.60","81.50","+0.20","114",
"2013/01/24","157,677","12,723,471","80.70","81.30","80.20","81.30","-0.20","142",
"2013/01/25","284,154","22,958,374","81.30","81.50","80.40","81.10","-0.20","223",
"2013/01/28","214,222","17,458,370","81.10","81.80","81.10","81.50","+0.40","127",
"2013/01/29","384,237","31,270,318","82.00","82.00","81.00","81.50"," 0.00","320",
"2013/01/30","367,182","29,728,403","81.80","81.80","80.50","81.00","-0.50","322",
"2013/01/31","810,590","65,346,813","81.00","81.70","80.10","80.70","-0.30","597",
