"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/07/01","8,747,711","534,417,270","61.00","61.60","60.60","61.10","+0.10","3,951",
"2016/07/04","5,355,252","329,354,393","61.30","61.80","61.10","61.50","+0.40","2,550",
"2016/07/05","2,900,870","177,841,026","61.00","61.50","60.90","61.50"," 0.00","1,899",
"2016/07/06","6,562,337","396,080,708","61.20","61.30","60.10","60.10","-1.40","4,048",
"2016/07/07","4,452,684","270,548,003","60.60","61.00","60.30","60.90","+0.80","1,893",
"2016/07/11","7,859,555","482,831,981","61.50","61.80","61.10","61.10","+0.20","3,373",
"2016/07/12","9,586,213","592,979,206","61.10","62.30","61.10","62.30","+1.20","4,728",
"2016/07/13","5,697,526","355,884,996","62.80","62.80","62.20","62.50","+0.20","3,069",
"2016/07/14","7,453,798","468,796,675","62.50","63.10","62.30","63.00","+0.50","3,876",
"2016/07/15","11,741,993","745,959,016","62.40","64.00","62.40","64.00","+1.00","5,198",
"2016/07/18","17,545,119","1,133,884,143","64.30","64.80","64.20","64.70","+0.70","6,540",
"2016/07/19","15,159,812","939,371,980","61.90","62.50","61.40","62.50","X0.00","6,083",
"2016/07/20","8,207,234","508,286,046","62.00","62.30","61.60","62.10","-0.40","4,260",
"2016/07/21","7,672,809","477,946,858","62.20","62.50","61.90","62.30","+0.20","4,131",
"2016/07/22","7,209,179","446,973,447","62.00","62.30","61.70","62.10","-0.20","3,762",
"2016/07/25","6,099,300","378,427,121","62.10","62.90","61.50","62.10"," 0.00","2,685",
"2016/07/26","4,545,982","281,159,670","62.00","62.10","61.60","62.00","-0.10","2,279",
"2016/07/27","6,336,998","389,386,256","61.70","62.00","61.10","61.60","-0.40","3,380",
"2016/07/28","6,492,531","396,691,109","61.10","61.60","60.80","61.30","-0.30","3,694",
"2016/07/29","5,539,207","335,928,448","61.00","61.30","60.40","60.40","-0.90","3,301",
