"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2014/06/03","4,001,911","270,339,982","67.20","67.90","67.20","67.70","+0.30","1,714",
"2014/06/04","6,493,073","441,167,407","67.60","68.20","67.50","67.90","+0.20","3,070",
"2014/06/05","4,220,057","284,416,101","67.90","67.90","66.80","67.50","-0.40","1,781",
"2014/06/06","1,976,205","132,817,665","67.40","67.50","67.00","67.10","-0.40","921",
"2014/06/09","4,363,928","295,537,998","67.10","68.10","66.80","68.00","+0.90","1,865",
"2014/06/10","7,857,594","540,568,855","68.00","69.30","67.90","69.30","+1.30","2,980",
"2014/06/11","5,023,148","346,507,621","69.30","69.30","68.50","69.10","-0.20","2,361",
"2014/06/12","2,124,686","146,197,515","69.00","69.00","68.60","68.70","-0.40","1,327",
"2014/06/13","2,203,938","150,980,227","68.70","69.20","68.10","68.60","-0.10","1,413",
"2014/06/16","3,165,620","217,229,563","68.60","69.00","68.10","68.50","-0.10","1,951",
"2014/06/17","3,914,752","269,282,902","68.80","69.00","68.20","68.70","+0.20","1,823",
"2014/06/18","8,781,963","608,144,884","68.30","69.90","68.30","69.60","+0.90","3,596",
"2014/06/19","3,216,146","224,114,820","69.90","69.90","69.20","69.90","+0.30","1,954",
"2014/06/20","4,283,630","296,845,710","69.90","70.00","68.90","69.20","-0.70","1,697",
"2014/06/23","4,164,162","290,658,581","69.30","70.00","69.30","69.60","+0.40","1,836",
"2014/06/24","10,924,251","771,940,701","69.80","71.00","69.80","70.80","+1.20","3,764",
"2014/06/25","8,065,033","573,279,281","70.70","71.40","70.70","70.80"," 0.00","3,239",
"2014/06/26","5,143,586","367,541,054","71.00","71.80","70.80","71.60","+0.80","2,267",
"2014/06/27","5,540,370","397,276,115","71.80","71.90","71.50","71.50","-0.10","1,841",
"2014/06/30","7,248,493","521,082,213","71.60","72.10","71.20","71.90","+0.40","1,806",
