"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/09/03","3,456,887","292,207,016","85.10","85.10","84.20","84.60","-0.80","1,852",
"2018/09/04","2,637,173","222,303,802","84.60","84.60","84.10","84.50","-0.10","1,479",
"2018/09/05","5,831,194","488,301,379","84.00","84.30","83.50","83.50","-1.00","2,773",
"2018/09/06","5,538,485","463,164,267","82.90","84.10","82.50","84.00","+0.50","2,612",
"2018/09/07","5,722,583","477,349,662","83.00","84.00","82.80","83.40","-0.60","2,087",
"2018/09/10","6,143,611","512,997,832","83.40","83.80","83.00","83.40"," 0.00","2,353",
"2018/09/11","7,448,083","623,238,024","83.90","84.00","83.10","84.00","+0.60","2,339",
"2018/09/12","6,112,525","509,130,072","83.60","84.00","82.80","83.60","-0.40","2,500",
"2018/09/13","7,516,553","633,060,544","83.90","84.70","83.70","84.60","+1.00","2,442",
"2018/09/14","6,277,963","527,600,392","84.60","84.60","83.80","84.00","-0.60","2,455",
"2018/09/17","3,569,785","300,368,440","84.60","84.60","83.90","83.90","-0.10","1,816",
"2018/09/18","5,362,753","451,383,180","84.00","84.40","83.60","84.40","+0.50","2,174",
"2018/09/19","5,184,537","438,061,107","84.60","84.80","84.10","84.80","+0.40","2,825",
"2018/09/20","3,478,684","293,146,774","84.70","84.70","84.00","84.00","-0.80","1,846",
"2018/09/21","15,762,149","1,344,774,237","84.20","85.70","84.20","85.50","+1.50","6,871",
"2018/09/25","7,671,917","652,979,770","85.50","86.00","84.30","84.50","-1.00","4,087",
"2018/09/26","5,245,239","441,575,081","84.70","84.90","83.90","84.00","-0.50","2,302",
"2018/09/27","9,048,962","763,827,650","83.80","85.20","83.70","85.00","+1.00","3,876",
"2018/09/28","8,749,401","738,680,373","84.50","84.90","83.90","84.80","-0.20","3,119",
