"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/04/01","17,378,422","394,265,107","22.70","22.90","22.60","22.65","-0.25","4,493",
"2016/04/06","28,599,161","642,005,176","22.65","22.65","22.30","22.30","-0.35","8,242",
"2016/04/07","21,036,079","466,409,884","22.20","22.30","22.05","22.30"," 0.00","6,828",
"2016/04/08","21,497,795","475,564,209","22.05","22.30","22.00","22.25","-0.05","6,302",
"2016/04/11","12,031,470","268,517,910","22.20","22.55","22.05","22.50","+0.25","5,116",
"2016/04/12","10,202,638","230,312,946","22.50","22.70","22.45","22.60","+0.10","3,702",
"2016/04/13","19,437,081","442,382,261","22.60","22.85","22.55","22.80","+0.20","5,203",
"2016/04/14","35,524,770","816,656,304","23.00","23.10","22.95","22.95","+0.15","6,004",
"2016/04/15","25,498,998","586,242,812","23.00","23.05","22.95","23.00","+0.05","4,720",
"2016/04/18","13,347,170","306,954,512","23.00","23.05","22.90","23.00"," 0.00","3,593",
"2016/04/19","19,232,074","442,333,564","23.00","23.05","22.95","23.00"," 0.00","3,993",
"2016/04/20","30,571,373","702,603,211","23.05","23.05","22.90","23.00"," 0.00","9,196",
"2016/04/21","18,131,991","416,271,155","23.00","23.05","22.90","23.00"," 0.00","5,411",
"2016/04/22","16,599,150","381,720,800","23.00","23.10","22.90","23.05","+0.05","5,852",
"2016/04/25","12,594,238","289,576,568","23.00","23.05","22.90","23.00","-0.05","2,807",
"2016/04/26","17,651,524","405,926,646","23.00","23.05","22.95","23.00"," 0.00","2,189",
"2016/04/27","36,736,604","849,883,389","23.00","23.25","22.95","23.15","+0.15","4,904",
"2016/04/28","40,286,653","933,610,554","23.30","23.50","22.80","23.10","-0.05","6,417",
"2016/04/29","24,378,757","559,256,743","23.00","23.10","22.70","22.90","-0.20","6,439",
