"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/03/01","22,017,047","527,555,942","23.90","24.10","23.85","24.05","+0.15","4,545",
"2017/03/02","20,788,962","496,566,481","24.10","24.15","23.80","23.85","-0.20","4,886",
"2017/03/03","17,013,261","404,517,546","23.80","24.00","23.70","23.70","-0.15","5,041",
"2017/03/06","5,625,578","134,272,678","23.70","23.95","23.65","23.95","+0.25","2,151",
"2017/03/07","8,553,298","204,957,532","23.95","24.00","23.80","24.00","+0.05","2,461",
"2017/03/08","11,476,691","274,916,021","23.95","24.05","23.90","23.90","-0.10","3,523",
"2017/03/09","14,829,155","352,161,941","23.85","23.90","23.70","23.70","-0.20","4,995",
"2017/03/10","8,087,923","192,960,881","23.75","24.00","23.70","23.85","+0.15","2,432",
"2017/03/13","13,582,146","322,693,692","23.90","23.95","23.70","23.75","-0.10","3,620",
"2017/03/14","12,786,228","305,113,998","23.80","23.95","23.80","23.80","+0.05","3,296",
"2017/03/15","10,091,744","241,070,870","23.85","23.95","23.80","23.85","+0.05","3,045",
"2017/03/16","13,839,431","330,892,833","23.95","23.95","23.80","23.95","+0.10","4,310",
"2017/03/17","23,320,309","561,649,454","24.00","24.15","23.95","24.15","+0.20","5,535",
"2017/03/20","11,403,353","275,738,026","24.10","24.25","24.05","24.25","+0.10","3,646",
"2017/03/21","18,382,195","446,858,837","24.25","24.35","24.20","24.35","+0.10","5,330",
"2017/03/22","20,314,676","489,337,403","24.00","24.25","24.00","24.25","-0.10","4,436",
"2017/03/23","11,468,469","276,932,864","24.35","24.35","24.05","24.15","-0.10","3,014",
"2017/03/24","6,437,814","154,954,036","24.05","24.20","24.00","24.10","-0.05","2,288",
"2017/03/27","11,020,954","265,177,346","24.00","24.20","23.90","24.05","-0.05","3,834",
"2017/03/28","16,162,205","388,968,670","24.20","24.20","23.90","24.10","+0.05","3,793",
"2017/03/29","23,027,066","563,080,698","24.30","24.55","24.25","24.55","+0.45","5,292",
"2017/03/30","21,845,758","539,530,129","24.60","24.80","24.60","24.70","+0.15","5,869",
"2017/03/31","23,087,854","566,663,958","24.80","24.80","24.45","24.50","-0.20","4,523",
