"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/05/02","15,408,461","376,039,515","24.25","24.50","24.25","24.45","+0.20","3,813",
"2017/05/03","6,985,930","171,174,147","24.50","24.60","24.40","24.55","+0.10","2,483",
"2017/05/04","11,919,635","293,217,000","24.60","24.65","24.50","24.65","+0.10","2,758",
"2017/05/05","4,267,221","104,516,269","24.45","24.60","24.45","24.50","-0.15","1,586",
"2017/05/08","10,978,349","269,042,326","24.60","24.65","24.35","24.50"," 0.00","2,200",
"2017/05/09","7,327,917","178,865,044","24.50","24.50","24.30","24.50"," 0.00","2,426",
"2017/05/10","9,191,399","224,193,674","24.50","24.50","24.30","24.45","-0.05","2,670",
"2017/05/11","13,539,899","332,232,635","24.40","24.60","24.40","24.60","+0.15","2,686",
"2017/05/12","8,973,397","220,455,560","24.50","24.70","24.45","24.70","+0.10","2,502",
"2017/05/15","9,774,253","241,675,206","24.70","24.80","24.60","24.80","+0.10","2,537",
"2017/05/16","12,845,815","318,746,303","24.80","24.95","24.70","24.95","+0.15","3,365",
"2017/05/17","9,958,495","246,444,141","24.85","24.95","24.60","24.75","-0.20","3,033",
"2017/05/18","10,634,983","261,749,002","24.60","24.75","24.50","24.60","-0.15","2,095",
"2017/05/19","11,185,293","274,052,348","24.60","24.65","24.45","24.50","-0.10","2,582",
"2017/05/22","13,656,726","336,296,932","24.60","24.70","24.50","24.60","+0.10","2,682",
"2017/05/23","11,314,667","279,805,009","24.65","24.80","24.65","24.70","+0.10","2,950",
"2017/05/24","7,498,999","184,602,888","24.70","24.75","24.55","24.65","-0.05","2,475",
"2017/05/25","17,145,690","420,926,136","24.65","24.65","24.45","24.65"," 0.00","3,193",
"2017/05/26","22,931,705","561,069,691","24.60","24.60","24.40","24.50","-0.15","4,199",
"2017/05/31","37,385,213","908,850,576","24.45","24.45","24.25","24.25","-0.25","5,523",
