"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/05/02","1,756,170","86,148,054","48.80","49.30","48.80","49.25","+0.35","1,189",
"2017/05/03","1,636,166","80,213,520","49.25","49.30","48.90","49.00","-0.25","627",
"2017/05/04","712,177","34,926,073","49.00","49.20","48.90","49.20","+0.20","473",
"2017/05/05","1,600,494","78,062,105","49.00","49.00","48.60","48.60","-0.60","1,209",
"2017/05/08","3,024,279","146,583,198","49.00","49.00","48.35","48.80","+0.20","2,208",
"2017/05/09","6,396,037","308,094,170","48.20","48.40","48.05","48.10","-0.70","3,645",
"2017/05/10","9,248,755","443,141,290","48.45","48.45","47.75","48.00","-0.10","3,399",
"2017/05/11","8,106,307","389,491,535","48.00","48.90","47.60","48.70","+0.70","3,796",
"2017/05/12","2,033,737","98,013,206","48.70","48.70","48.05","48.10","-0.60","610",
"2017/05/15","1,139,776","55,341,085","48.40","48.70","48.15","48.60","+0.50","720",
"2017/05/16","4,005,962","193,187,198","48.50","48.85","47.65","48.85","+0.25","2,411",
"2017/05/17","7,634,319","376,973,517","49.40","49.65","49.05","49.50","+0.65","2,700",
"2017/05/18","5,620,848","278,231,883","49.25","49.65","49.20","49.60","+0.10","1,977",
"2017/05/19","2,429,774","120,587,771","49.60","49.75","49.55","49.55","-0.05","1,334",
"2017/05/22","4,877,921","243,937,518","49.60","50.20","49.60","50.10","+0.55","1,716",
"2017/05/23","4,751,057","239,434,054","50.00","50.60","50.00","50.50","+0.40","2,287",
"2017/05/24","4,661,467","235,302,785","50.30","50.60","50.30","50.40","-0.10","2,541",
"2017/05/25","3,962,661","200,503,117","50.40","50.80","50.40","50.60","+0.20","1,703",
"2017/05/26","6,792,098","343,885,829","50.80","50.90","50.40","50.40","-0.20","2,427",
"2017/05/31","29,391,659","1,490,804,375","50.40","50.80","50.30","50.80","+0.40","3,156",
