"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2012/05/02","16,126,629","572,978,408","34.55","36.10","34.50","35.75","+1.10","4,414",
"2012/05/03","10,776,625","375,886,669","35.00","35.20","34.55","34.85","-0.90","2,963",
"2012/05/04","7,188,257","247,823,621","34.50","34.60","34.25","34.50","-0.35","2,321",
"2012/05/07","10,240,201","344,644,891","34.15","34.15","33.40","33.85","-0.65","3,597",
"2012/05/08","7,958,942","270,829,162","33.85","34.30","33.45","34.30","+0.45","3,363",
"2012/05/09","9,142,225","306,111,798","33.60","33.75","33.20","33.30","-1.00","3,432",
"2012/05/10","5,835,352","196,305,983","33.20","33.90","33.20","33.50","+0.20","2,711",
"2012/05/11","7,369,643","246,025,514","33.15","33.70","33.00","33.70","+0.20","3,595",
"2012/05/14","2,279,589","76,615,503","33.40","33.85","33.30","33.70"," 0.00","1,254",
"2012/05/15","10,067,878","331,274,761","33.00","33.60","32.90","33.25","-0.45","3,001",
"2012/05/16","10,613,347","344,774,079","33.25","33.25","31.80","31.80","-1.45","3,498",
"2012/05/17","12,740,222","406,017,176","32.05","32.05","31.65","31.90","+0.10","3,471",
"2012/05/18","8,596,612","269,359,405","31.50","31.60","31.00","31.15","-0.75","2,928",
"2012/05/21","5,362,297","168,454,207","31.70","31.90","31.05","31.15"," 0.00","1,912",
"2012/05/22","5,340,876","168,383,414","31.50","31.75","31.20","31.40","+0.25","1,789",
"2012/05/23","6,897,368","213,796,350","31.20","31.35","30.80","30.80","-0.60","2,424",
"2012/05/24","7,381,841","223,691,107","30.65","31.30","29.80","30.10","-0.70","2,439",
"2012/05/25","6,247,967","185,392,228","30.10","30.25","29.10","29.10","-1.00","2,438",
"2012/05/28","5,203,867","154,626,618","29.10","30.05","29.10","30.05","+0.95","2,290",
"2012/05/29","15,761,973","502,462,886","31.55","32.15","31.50","31.80","+1.75","3,316",
"2012/05/30","12,934,067","410,660,444","32.00","32.15","31.20","32.15","+0.35","3,682",
"2012/05/31","15,216,989","486,957,229","31.80","32.50","31.30","32.50","+0.35","3,489",
