"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2014/02/05","17,688,188","754,063,884","43.05","43.40","41.80","43.00","-1.85","7,230",
"2014/02/06","8,563,969","368,840,395","42.90","43.30","42.85","43.00"," 0.00","3,777",
"2014/02/07","5,126,703","223,827,612","43.70","43.80","43.35","43.65","+0.65","2,851",
"2014/02/10","6,855,368","305,026,345","43.90","44.95","43.90","44.70","+1.05","3,109",
"2014/02/11","8,563,646","377,602,699","44.70","44.90","43.55","43.55","-1.15","3,400",
"2014/02/12","5,818,175","256,263,244","44.00","44.35","43.80","44.30","+0.75","2,576",
"2014/02/13","7,077,396","312,016,725","44.10","44.50","43.70","44.30"," 0.00","2,791",
"2014/02/14","6,997,426","314,499,318","44.65","45.10","44.50","45.00","+0.70","3,568",
"2014/02/17","7,169,382","328,057,731","45.30","45.95","45.30","45.90","+0.90","3,969",
"2014/02/18","6,497,702","299,231,937","46.00","46.40","45.55","46.35","+0.45","3,436",
"2014/02/19","6,620,249","302,053,907","46.35","46.35","45.30","45.30","-1.05","3,572",
"2014/02/20","7,096,801","317,698,891","45.05","45.60","44.20","44.40","-0.90","2,982",
"2014/02/21","4,940,945","221,035,063","44.80","45.15","44.45","45.00","+0.60","2,498",
"2014/02/24","6,137,769","272,743,040","44.95","45.15","44.05","44.30","-0.70","2,693",
"2014/02/25","5,739,270","252,935,106","44.50","44.65","43.75","43.85","-0.45","2,915",
"2014/02/26","6,876,640","302,508,140","43.80","44.30","43.70","43.85"," 0.00","3,131",
"2014/02/27","4,769,966","211,709,561","44.20","44.55","44.05","44.55","+0.70","2,586",
