"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/05/03","1,018,929","38,636,222","38.55","38.60","37.55","37.65","-1.00","647",
"2016/05/04","1,460,760","56,175,585","37.40","39.20","37.00","38.80","+1.15","1,086",
"2016/05/05","611,524","23,287,623","38.50","38.55","37.75","38.15","-0.65","392",
"2016/05/06","460,981","17,668,278","38.45","38.55","38.05","38.05","-0.10","361",
"2016/05/09","911,330","34,863,340","38.40","38.70","37.80","37.80","-0.25","616",
"2016/05/10","647,792","24,725,511","38.15","38.40","37.90","38.15","+0.35","556",
"2016/05/11","391,675","14,759,462","38.20","38.25","37.50","37.60","-0.55","315",
"2016/05/12","428,329","16,020,769","37.60","37.60","37.25","37.25","-0.35","259",
"2016/05/13","583,506","21,375,181","37.00","37.10","36.25","36.45","-0.80","425",
"2016/05/16","841,600","30,084,579","36.00","36.30","35.40","35.60","-0.85","462",
"2016/05/17","482,612","17,534,533","35.60","36.95","35.60","36.75","+1.15","363",
"2016/05/18","788,326","28,364,833","36.45","36.50","35.40","35.95","-0.80","603",
"2016/05/19","479,650","17,349,466","36.45","36.50","35.75","35.90","-0.05","392",
"2016/05/20","378,243","13,647,880","36.35","36.35","35.90","36.15","+0.25","312",
"2016/05/23","362,707","13,192,717","36.10","36.50","36.10","36.45","+0.30","252",
"2016/05/24","340,000","12,298,198","36.05","36.35","36.00","36.15","-0.30","214",
"2016/05/25","334,000","12,166,050","36.20","36.55","36.20","36.55","+0.40","240",
"2016/05/26","351,066","12,778,498","36.55","36.65","36.20","36.20","-0.35","302",
"2016/05/27","627,055","22,829,616","36.20","36.70","36.20","36.70","+0.50","491",
"2016/05/30","584,662","21,451,927","36.70","36.90","36.50","36.80","+0.10","472",
"2016/05/31","659,080","24,170,144","37.00","37.00","36.50","36.50","-0.30","423",
