"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2013/05/02","1,391,798","77,405,766","56.20","56.20","55.30","55.40","-0.80","864",
"2013/05/03","797,715","44,298,253","55.40","56.00","55.20","55.60","+0.20","537",
"2013/05/06","1,899,538","106,800,728","55.60","56.60","55.60","56.20","+0.60","974",
"2013/05/07","671,180","37,619,215","56.20","56.50","55.70","55.80","-0.40","483",
"2013/05/08","1,128,769","63,471,416","55.90","56.40","55.90","56.30","+0.50","814",
"2013/05/09","1,401,758","79,499,852","56.50","56.90","56.40","56.70","+0.40","986",
"2013/05/10","1,470,017","83,652,461","57.00","57.20","56.50","56.90","+0.20","992",
"2013/05/13","1,662,433","95,145,454","57.50","57.50","56.90","57.10","+0.20","979",
"2013/05/14","1,850,139","106,075,846","57.40","57.60","57.10","57.40","+0.30","1,044",
"2013/05/15","1,080,770","61,987,551","57.60","57.80","57.10","57.30","-0.10","651",
"2013/05/16","1,866,316","107,588,962","57.50","57.80","57.40","57.80","+0.50","1,025",
"2013/05/17","1,406,488","81,836,001","57.90","58.60","57.70","57.70","-0.10","957",
"2013/05/20","770,770","44,372,060","57.50","58.00","57.40","57.70"," 0.00","461",
"2013/05/21","983,648","57,127,213","57.70","58.50","57.50","57.90","+0.20","557",
"2013/05/22","883,401","51,043,654","58.00","58.40","57.50","57.70","-0.20","663",
"2013/05/23","1,556,300","88,726,249","57.80","58.10","56.40","56.50","-1.20","1,089",
"2013/05/24","1,072,180","60,708,760","56.90","57.10","56.30","57.10","+0.60","806",
"2013/05/27","468,527","26,783,705","57.30","57.50","56.70","57.50","+0.40","307",
"2013/05/28","889,200","50,888,319","57.50","57.50","57.00","57.10","-0.40","643",
"2013/05/29","1,552,845","88,222,965","57.40","57.40","56.40","56.60","-0.50","987",
"2013/05/30","842,652","47,533,141","56.80","56.90","56.10","56.10","-0.50","623",
"2013/05/31","1,153,418","65,188,399","56.80","56.90","56.00","56.70","+0.60","570",
