"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/11/01","1,371,500","44,419,499","32.35","32.65","32.10","32.40","-0.55","814",
"2017/11/02","600,305","19,361,661","32.20","32.40","32.15","32.25","-0.15","347",
"2017/11/03","484,844","15,896,969","32.35","32.95","32.30","32.85","+0.60","325",
"2017/11/06","450,220","14,586,827","32.85","32.85","32.20","32.55","-0.30","322",
"2017/11/07","610,018","19,701,783","32.55","32.55","32.20","32.30","-0.25","416",
"2017/11/08","551,807","17,799,754","32.50","32.50","32.20","32.30"," 0.00","326",
"2017/11/09","792,825","25,493,979","32.30","32.40","32.05","32.30"," 0.00","466",
"2017/11/10","437,792","14,079,557","32.40","32.40","32.10","32.10","-0.20","327",
"2017/11/13","623,761","19,918,503","32.10","32.25","31.85","31.85","-0.25","431",
"2017/11/14","379,655","12,071,287","31.85","32.00","31.70","31.85"," 0.00","271",
"2017/11/15","726,800","22,924,758","31.85","31.85","31.40","31.40","-0.45","514",
"2017/11/16","458,456","14,451,950","31.40","31.85","31.30","31.40"," 0.00","285",
"2017/11/17","486,685","15,281,075","31.55","31.65","31.30","31.35","-0.05","380",
"2017/11/20","726,526","22,696,216","31.40","31.40","31.15","31.15","-0.20","561",
"2017/11/21","806,754","25,386,753","31.15","31.80","31.10","31.60","+0.45","562",
"2017/11/22","726,066","23,375,544","31.65","32.50","31.65","32.30","+0.70","514",
"2017/11/23","266,310","8,628,073","32.40","32.45","32.30","32.40","+0.10","172",
"2017/11/24","252,100","8,144,145","32.45","32.45","32.15","32.20","-0.20","169",
"2017/11/27","204,650","6,612,324","32.35","32.40","32.25","32.35","+0.15","151",
"2017/11/28","336,000","10,781,500","32.35","32.35","32.00","32.00","-0.35","217",
"2017/11/29","550,248","17,471,434","31.95","32.05","31.60","31.60","-0.40","348",
"2017/11/30","446,966","14,122,894","31.60","31.90","31.35","31.65","+0.05","338",
