"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/12/01","175,449","29,110,432","166.50","167.00","165.50","165.50","-1.00","148",
"2016/12/02","97,100","16,053,200","165.50","166.00","165.00","165.50"," 0.00","107",
"2016/12/05","299,303","49,743,749","165.50","170.00","164.50","166.50","+1.00","265",
"2016/12/06","189,156","31,508,552","166.50","168.00","166.00","166.00","-0.50","190",
"2016/12/07","280,581","46,429,734","165.50","166.50","164.50","165.50","-0.50","237",
"2016/12/08","260,385","43,053,410","165.50","166.00","164.50","165.00","-0.50","183",
"2016/12/09","62,200","10,288,200","166.00","166.00","165.00","165.00"," 0.00","74",
"2016/12/12","173,420","28,477,800","165.00","166.00","163.50","163.50","-1.50","182",
"2016/12/13","117,610","19,226,040","163.50","164.00","163.00","163.00","-0.50","133",
"2016/12/14","132,400","21,641,100","163.50","164.00","163.00","163.50","+0.50","142",
"2016/12/15","266,532","43,340,477","164.00","164.00","162.00","162.50","-1.00","279",
"2016/12/16","350,060","57,257,340","163.50","165.50","162.00","164.00","+1.50","315",
"2016/12/19","333,109","54,849,985","164.50","165.50","164.00","165.00","+1.00","173",
"2016/12/20","192,300","31,775,950","165.00","166.00","164.50","165.00"," 0.00","142",
"2016/12/21","142,002","23,211,828","164.50","164.50","163.00","163.50","-1.50","132",
"2016/12/22","50,823","8,324,382","163.50","164.50","163.00","163.50"," 0.00","58",
"2016/12/23","15,000","2,459,500","163.00","164.50","163.00","164.00","+0.50","29",
"2016/12/26","35,390","5,802,850","164.00","165.00","163.50","164.00"," 0.00","34",
"2016/12/27","26,700","4,373,500","163.50","164.00","163.50","163.50","-0.50","24",
"2016/12/28","111,657","18,337,405","165.00","165.00","163.50","163.50"," 0.00","75",
"2016/12/29","66,859","10,942,735","163.50","164.50","163.00","163.50"," 0.00","70",
"2016/12/30","88,300","14,456,100","163.50","164.50","163.00","164.50","+1.00","75",
