"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2011/12/01","549,210","105,448,610","189.00","195.00","188.00","190.00","+6.00","388",
"2011/12/02","177,400","33,364,500","190.00","190.00","186.50","187.00","-3.00","156",
"2011/12/05","173,000","31,677,000","187.00","187.00","181.00","181.00","-6.00","155",
"2011/12/06","309,110","55,620,300","180.00","182.00","177.50","179.00","-2.00","247",
"2011/12/07","304,020","53,986,600","180.00","181.00","175.50","175.50","-3.50","250",
"2011/12/08","420,114","72,031,507","175.50","175.50","169.00","173.50","-2.00","315",
"2011/12/09","297,644","51,864,809","170.00","178.00","169.00","176.00","+2.50","252",
"2011/12/12","252,013","44,609,359","177.00","179.00","175.00","175.00","-1.00","223",
"2011/12/13","345,394","59,064,768","170.00","173.00","169.00","170.50","-4.50","291",
"2011/12/14","192,381","32,633,341","169.50","172.00","166.00","171.50","+1.00","170",
"2011/12/15","85,586","14,545,948","170.00","171.50","168.00","170.00","-1.50","87",
"2011/12/16","135,910","23,448,660","172.00","174.50","170.50","174.50","+4.50","119",
"2011/12/19","202,240","34,409,178","173.00","173.00","168.00","168.50","-6.00","173",
"2011/12/20","212,179","36,438,825","168.00","174.50","168.00","171.00","+2.50","177",
"2011/12/21","386,424","67,755,972","172.50","178.00","172.50","176.00","+5.00","272",
"2011/12/22","139,415","24,177,087","175.50","176.00","172.00","172.00","-4.00","125",
"2011/12/23","382,246","67,403,788","173.00","179.00","172.00","175.50","+3.50","284",
"2011/12/26","99,120","17,295,440","175.50","176.50","173.50","173.50","-2.00","90",
"2011/12/27","107,131","18,563,727","173.50","175.00","172.00","173.00","-0.50","98",
"2011/12/28","273,225","48,072,875","174.00","178.00","172.00","176.00","+3.00","230",
"2011/12/29","185,000","32,667,500","176.00","178.00","174.00","177.00","+1.00","147",
"2011/12/30","284,050","50,445,400","177.00","178.50","176.00","176.50","-0.50","193",
