"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/12/03","252,525","42,783,250","169.00","170.00","168.50","169.50","+1.00","215",
"2018/12/04","173,144","29,296,405","169.50","169.50","168.50","168.50","-1.00","169",
"2018/12/05","75,699","12,747,631","168.50","169.00","168.00","168.50"," 0.00","98",
"2018/12/06","175,248","29,464,029","168.50","169.00","168.00","169.00","+0.50","166",
"2018/12/07","174,630","29,386,970","168.50","169.00","168.00","168.50","-0.50","165",
"2018/12/10","51,880","8,734,220","168.50","168.50","168.00","168.50"," 0.00","81",
"2018/12/11","106,885","17,964,065","169.00","169.00","168.00","168.00","-0.50","132",
"2018/12/12","130,295","21,891,855","168.00","169.00","167.50","168.00"," 0.00","144",
"2018/12/13","69,305","11,677,545","168.50","169.00","168.00","168.50","+0.50","92",
"2018/12/14","87,699","14,774,631","168.50","169.00","168.00","168.00","-0.50","110",
"2018/12/17","165,536","27,762,305","168.00","168.50","167.00","168.00"," 0.00","188",
"2018/12/18","262,784","43,953,212","167.50","168.00","167.00","167.00","-1.00","235",
"2018/12/19","141,613","23,669,484","167.00","167.50","166.50","167.50","+0.50","157",
"2018/12/20","122,843","20,512,195","167.00","167.50","166.50","167.00","-0.50","123",
"2018/12/21","203,761","33,938,587","167.00","167.00","166.00","166.00","-1.00","201",
"2018/12/22","41,161","6,858,466","166.50","167.00","166.50","166.50","+0.50","58",
"2018/12/24","68,726","11,443,242","167.00","167.00","166.00","166.50"," 0.00","101",
"2018/12/25","112,339","18,667,777","166.00","167.00","166.00","166.50"," 0.00","125",
"2018/12/26","101,940","16,986,480","166.50","168.00","166.00","166.00","-0.50","127",
"2018/12/27","67,179","11,201,893","167.50","167.50","166.00","166.50","+0.50","82",
"2018/12/28","124,994","20,754,998","166.50","166.50","165.50","166.50"," 0.00","140",
