"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/01/02","112,301","19,723,925","175.00","176.00","175.00","176.00","+1.00","100",
"2018/01/03","158,500","27,734,247","176.00","176.00","174.50","174.50","-1.50","162",
"2018/01/04","170,889","30,046,353","174.50","176.50","174.50","176.00","+1.50","146",
"2018/01/05","117,907","20,749,039","177.00","177.00","175.50","176.00"," 0.00","120",
"2018/01/08","162,563","28,567,363","176.50","176.50","175.00","175.50","-0.50","145",
"2018/01/09","395,811","70,277,448","178.00","179.50","176.00","176.50","+1.00","330",
"2018/01/10","328,602","58,013,054","177.00","177.50","176.00","176.00","-0.50","205",
"2018/01/11","266,070","46,602,779","176.00","176.50","174.50","174.50","-1.50","261",
"2018/01/12","297,265","51,927,006","174.50","176.00","174.00","174.50"," 0.00","232",
"2018/01/15","268,833","47,009,185","175.00","175.00","174.50","174.50"," 0.00","213",
"2018/01/16","193,492","33,857,092","175.50","175.50","174.50","174.50"," 0.00","138",
"2018/01/17","217,478","38,036,128","174.50","175.50","174.50","175.00","+0.50","197",
"2018/01/18","232,465","40,693,340","175.00","176.00","174.50","174.50","-0.50","206",
"2018/01/19","284,400","49,646,900","174.50","175.50","174.00","174.00","-0.50","205",
"2018/01/22","249,100","43,400,000","174.00","175.00","173.50","174.00"," 0.00","213",
"2018/01/23","172,040","30,042,540","174.00","175.00","174.00","175.00","+1.00","132",
"2018/01/24","214,635","37,385,438","175.00","175.50","173.50","174.00","-1.00","205",
"2018/01/25","279,389","48,477,186","173.50","174.50","173.00","173.00","-1.00","239",
"2018/01/26","279,848","48,335,052","173.50","174.00","172.00","173.00"," 0.00","274",
"2018/01/29","232,163","40,073,775","173.00","174.00","172.00","172.50","-0.50","203",
"2018/01/30","184,104","31,711,992","172.50","173.00","172.00","172.00","-0.50","169",
"2018/01/31","266,724","45,795,386","172.00","172.50","171.00","171.50","-0.50","248",
