"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/10/03","156,354","27,113,271","173.50","174.00","173.00","173.50","+0.50","149",
"2016/10/04","126,481","21,842,452","172.50","174.00","172.50","172.50","-1.00","141",
"2016/10/05","198,300","34,087,400","172.50","173.50","170.00","172.00","-0.50","175",
"2016/10/06","153,500","26,321,247","171.50","173.00","171.00","171.00","-1.00","156",
"2016/10/07","192,486","33,094,319","171.00","173.50","171.00","172.50","+1.50","163",
"2016/10/11","278,441","47,424,072","172.00","172.00","169.00","170.50","-2.00","236",
"2016/10/12","173,707","29,588,104","170.00","171.50","169.50","170.50"," 0.00","189",
"2016/10/13","93,135","15,967,855","170.50","172.00","170.50","172.00","+1.50","85",
"2016/10/14","143,625","24,600,185","171.50","172.50","170.50","170.50","-1.50","155",
"2016/10/17","90,980","15,549,080","170.00","172.00","170.00","171.50","+1.00","98",
"2016/10/18","56,600","9,681,200","170.50","172.00","170.50","171.50"," 0.00","60",
"2016/10/19","106,122","18,164,484","172.00","172.00","170.50","171.00","-0.50","99",
"2016/10/20","93,601","15,985,070","170.50","172.00","170.50","171.00"," 0.00","92",
"2016/10/21","356,366","61,604,367","171.00","174.50","170.00","174.50","+3.50","245",
"2016/10/24","165,088","28,728,724","174.00","175.00","173.00","174.00","-0.50","158",
"2016/10/25","57,157","9,909,239","174.00","174.00","173.00","173.00","-1.00","60",
"2016/10/26","141,944","24,286,868","172.50","172.50","170.50","170.50","-2.50","154",
"2016/10/27","213,653","36,414,489","170.50","171.50","170.00","171.50","+1.00","160",
"2016/10/28","168,605","28,731,455","171.50","171.50","170.00","170.00","-1.50","171",
"2016/10/31","269,168","45,599,560","170.50","170.50","168.00","168.00","-2.00","155",
