"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/06/01","199,825","38,410,900","192.50","193.50","191.00","192.00","-0.50","169",
"2018/06/04","373,677","71,448,307","192.00","192.50","190.50","190.50","-1.50","269",
"2018/06/05","409,100","78,295,147","191.50","192.50","190.50","190.50"," 0.00","233",
"2018/06/06","181,716","34,687,110","190.50","191.50","190.50","191.00","+0.50","149",
"2018/06/07","203,700","39,039,800","192.50","193.00","191.00","191.00"," 0.00","146",
"2018/06/08","162,251","31,065,315","191.00","192.00","191.00","191.00"," 0.00","132",
"2018/06/11","219,154","41,784,986","191.50","191.50","190.00","190.00","-1.00","212",
"2018/06/12","404,291","76,487,790","190.00","190.00","188.50","188.50","-1.50","336",
"2018/06/13","214,000","40,551,499","189.00","190.00","189.00","189.50","+1.00","198",
"2018/06/14","227,310","43,395,020","189.50","192.00","189.00","191.00","+1.50","184",
"2018/06/15","144,025","27,506,783","191.00","191.50","190.00","191.00"," 0.00","136",
"2018/06/19","518,194","97,898,455","191.00","191.00","188.00","189.00","-2.00","424",
"2018/06/20","243,319","46,122,110","189.00","190.50","188.50","188.50","-0.50","252",
"2018/06/21","225,124","42,550,060","190.00","190.00","188.50","189.00","+0.50","242",
"2018/06/22","191,053","35,983,017","189.00","189.00","188.00","188.00","-1.00","209",
"2018/06/25","313,403","58,847,667","188.50","189.00","187.00","188.00"," 0.00","286",
"2018/06/26","266,049","49,942,761","187.50","189.00","186.50","189.00","+1.00","261",
"2018/06/27","206,640","39,256,559","189.00","191.00","188.50","191.00","+2.00","183",
"2018/06/28","113,275","21,614,800","190.50","191.50","190.00","191.00"," 0.00","106",
"2018/06/29","50,490","9,636,580","191.00","191.50","190.50","191.00"," 0.00","60",
