"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/11/01","294,083","48,906,444","168.00","168.50","165.00","166.00","-2.00","315",
"2016/11/02","161,944","26,813,620","166.00","166.50","165.00","165.50","-0.50","165",
"2016/11/03","126,003","20,821,498","165.00","166.50","165.00","165.50"," 0.00","145",
"2016/11/04","121,515","20,132,990","165.50","166.00","165.00","165.50"," 0.00","130",
"2016/11/07","125,063","20,804,021","166.00","167.00","165.50","166.50","+1.00","137",
"2016/11/08","186,500","30,889,000","166.50","166.50","165.00","165.50","-1.00","175",
"2016/11/09","345,649","56,365,085","165.00","165.50","161.00","165.00","-0.50","319",
"2016/11/10","127,400","21,079,800","165.00","166.50","164.00","166.00","+1.00","123",
"2016/11/11","145,832","23,901,112","166.00","166.00","163.00","164.50","-1.50","127",
"2016/11/14","80,997","13,331,002","164.50","165.00","164.00","164.50"," 0.00","94",
"2016/11/15","147,885","24,449,410","164.50","166.00","164.00","165.50","+1.00","139",
"2016/11/16","289,185","47,624,525","166.00","166.00","163.00","163.50","-2.00","241",
"2016/11/17","247,350","40,334,100","163.00","165.00","162.00","165.00","+1.50","218",
"2016/11/18","199,292","32,544,472","165.00","165.00","163.00","164.00","-1.00","176",
"2016/11/21","73,100","12,004,500","164.00","164.50","163.50","164.50","+0.50","100",
"2016/11/22","335,200","55,746,699","166.00","167.50","165.50","167.50","+3.00","251",
"2016/11/23","239,265","39,899,020","167.50","168.00","165.50","166.00","-1.50","194",
"2016/11/24","95,335","15,900,450","166.00","167.50","166.00","166.50","+0.50","87",
"2016/11/25","105,250","17,559,624","166.50","168.00","166.00","166.50"," 0.00","93",
"2016/11/28","88,596","14,799,628","167.00","167.50","166.50","166.50"," 0.00","91",
"2016/11/29","114,150","19,018,350","166.50","167.00","166.00","166.50"," 0.00","109",
"2016/11/30","393,894","65,675,192","166.50","167.50","166.00","166.50"," 0.00","215",
