"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/01/03","132,261","21,641,065","164.50","164.50","163.00","163.50","-1.00","143",
"2017/01/04","173,325","28,267,800","164.00","164.00","162.50","163.00","-0.50","188",
"2017/01/05","254,041","41,308,199","163.50","163.50","162.00","163.00"," 0.00","259",
"2017/01/06","117,351","19,146,884","163.50","163.50","162.50","163.00"," 0.00","143",
"2017/01/09","300,386","48,683,418","162.50","163.00","161.00","161.00","-2.00","299",
"2017/01/10","217,254","35,079,272","161.00","163.00","160.50","162.00","+1.00","218",
"2017/01/11","547,089","88,768,507","162.00","163.50","161.00","162.50","+0.50","288",
"2017/01/12","215,992","34,970,696","163.00","163.00","161.50","161.50","-1.00","201",
"2017/01/13","131,191","21,364,726","162.00","164.00","162.00","163.50","+2.00","134",
"2017/01/16","135,873","22,139,299","163.50","163.50","162.50","162.50","-1.00","142",
"2017/01/17","197,723","32,100,986","162.50","163.00","162.00","162.00","-0.50","208",
"2017/01/18","173,316","28,346,324","162.50","164.50","162.50","163.00","+1.00","165",
"2017/01/19","204,979","33,446,565","163.50","163.50","162.50","163.50","+0.50","217",
"2017/01/20","182,946","29,756,669","163.50","163.50","162.00","162.50","-1.00","161",
"2017/01/23","189,183","30,865,600","162.50","163.50","162.50","163.50","+1.00","194",
"2017/01/24","177,920","29,118,880","163.50","164.00","163.50","163.50"," 0.00","183",
