"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/08/01","73,500","12,689,248","173.00","173.50","172.00","172.00","-1.50","73",
"2017/08/02","78,605","13,545,965","172.00","173.00","172.00","172.00"," 0.00","69",
"2017/08/03","102,600","17,615,800","172.00","172.50","171.00","172.50","+0.50","93",
"2017/08/04","74,250","12,778,250","172.50","172.50","171.50","172.50"," 0.00","65",
"2017/08/07","57,610","9,924,832","172.00","172.50","172.00","172.50"," 0.00","66",
"2017/08/08","68,759","11,831,925","172.00","173.00","171.50","171.50","-1.00","71",
"2017/08/09","62,050","10,610,072","171.00","171.50","170.50","170.50","-1.00","73",
"2017/08/10","177,604","30,121,680","170.50","170.50","169.00","169.00","-1.50","187",
"2017/08/11","142,800","24,049,500","169.00","169.50","168.00","169.00"," 0.00","139",
"2017/08/14","164,831","27,751,850","168.50","169.00","168.00","168.50","-0.50","160",
"2017/08/15","181,962","30,589,088","168.00","169.50","167.50","167.50","-1.00","186",
"2017/08/16","218,290","36,535,357","167.50","168.00","166.50","168.00","+0.50","223",
"2017/08/17","116,100","19,591,948","168.00","169.50","167.50","168.50","+0.50","106",
"2017/08/18","131,750","22,087,869","168.50","168.50","167.00","167.50","-1.00","134",
"2017/08/21","94,516","15,900,943","167.50","169.50","167.00","167.50"," 0.00","107",
"2017/08/22","98,491","16,550,225","167.50","168.50","167.50","168.00","+0.50","113",
"2017/08/23","102,960","17,289,256","168.00","169.50","167.50","168.00"," 0.00","112",
"2017/08/24","186,850","31,525,650","168.00","169.50","167.50","168.00"," 0.00","146",
"2017/08/25","63,611","10,708,759","168.00","169.00","167.50","168.00"," 0.00","78",
"2017/08/28","127,801","21,532,869","168.00","169.00","167.50","168.50","+0.50","124",
"2017/08/29","228,565","38,341,265","168.50","169.00","167.00","169.00","+0.50","180",
"2017/08/30","159,183","27,073,293","169.00","171.50","169.00","170.00","+1.00","156",
"2017/08/31","170,750","29,131,750","171.50","172.00","170.00","170.00"," 0.00","163",
