"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/12/01","115,389","19,857,101","173.00","173.00","171.50","172.00","-0.50","101",
"2017/12/04","121,633","20,995,775","172.00","175.00","171.50","174.50","+2.50","116",
"2017/12/05","159,320","27,739,680","174.50","175.00","172.50","174.00","-0.50","164",
"2017/12/06","180,240","31,403,500","174.50","175.00","173.50","174.00"," 0.00","182",
"2017/12/07","427,176","75,449,059","176.00","179.00","175.50","175.50","+1.50","367",
"2017/12/08","265,505","46,033,875","175.50","176.00","172.50","174.00","-1.50","237",
"2017/12/11","114,824","19,882,376","173.00","174.00","172.50","173.00","-1.00","129",
"2017/12/12","154,250","26,816,870","173.00","175.00","173.00","173.00"," 0.00","177",
"2017/12/13","105,000","18,208,497","173.00","174.50","173.00","173.00"," 0.00","118",
"2017/12/14","121,270","21,068,840","173.00","175.00","173.00","173.50","+0.50","130",
"2017/12/15","188,716","32,830,440","173.50","175.50","173.50","173.50"," 0.00","194",
"2017/12/18","156,600","27,253,196","173.50","174.50","173.50","174.00","+0.50","149",
"2017/12/19","117,272","20,433,100","174.00","174.50","174.00","174.00"," 0.00","107",
"2017/12/20","180,089","31,411,616","174.00","175.00","173.50","175.00","+1.00","159",
"2017/12/21","233,110","41,012,407","175.00","176.50","175.00","176.50","+1.50","214",
"2017/12/22","96,350","16,936,600","176.50","176.50","175.50","175.50","-1.00","99",
"2017/12/25","51,089","8,924,575","175.50","175.50","174.00","175.00","-0.50","72",
"2017/12/26","74,267","12,913,086","174.50","174.50","173.50","173.50","-1.50","85",
"2017/12/27","77,930","13,544,284","173.50","174.50","173.50","173.50"," 0.00","77",
"2017/12/28","81,000","14,102,999","173.50","175.00","173.50","173.50"," 0.00","81",
"2017/12/29","95,817","16,721,792","174.00","175.00","173.50","175.00","+1.50","103",
