"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/03/01","84,600","14,300,500","169.50","169.50","168.50","169.00","-0.50","89",
"2017/03/02","131,600","22,291,297","169.50","170.00","169.00","170.00","+1.00","124",
"2017/03/03","712,621","123,880,738","170.00","176.00","170.00","174.50","+4.50","644",
"2017/03/06","183,737","32,073,975","176.00","176.00","173.50","174.00","-0.50","147",
"2017/03/07","263,080","45,588,954","174.00","174.50","172.50","174.50","+0.50","188",
"2017/03/08","268,720","46,923,078","175.00","175.50","174.00","175.50","+1.00","224",
"2017/03/09","167,953","29,231,275","175.50","175.50","173.50","174.00","-1.50","157",
"2017/03/10","320,739","55,165,586","174.00","174.00","171.00","173.00","-1.00","251",
"2017/03/13","231,588","39,803,224","172.00","172.50","171.50","171.50","-1.50","200",
"2017/03/14","137,790","23,734,170","171.50","173.00","171.50","172.00","+0.50","135",
"2017/03/15","152,669","26,326,906","172.00","173.00","172.00","172.50","+0.50","150",
"2017/03/16","167,507","28,927,218","172.50","173.50","172.00","172.50"," 0.00","168",
"2017/03/17","246,574","42,420,084","173.00","173.00","171.50","172.00","-0.50","207",
"2017/03/20","189,653","32,596,292","172.00","173.00","171.00","172.50","+0.50","189",
"2017/03/21","106,745","18,430,754","173.00","173.00","172.00","173.00","+0.50","107",
"2017/03/22","109,771","18,932,538","172.50","173.00","172.00","172.50","-0.50","104",
"2017/03/23","270,309","46,991,917","173.00","175.50","173.00","173.50","+1.00","222",
"2017/03/24","164,948","28,660,900","173.50","174.50","173.00","173.50"," 0.00","163",
"2017/03/27","466,120","81,761,620","177.00","177.00","174.50","175.00","+1.50","360",
"2017/03/28","340,753","59,167,893","175.00","175.00","172.50","173.50","-1.50","296",
"2017/03/29","164,952","28,602,122","174.50","174.50","172.50","173.50"," 0.00","156",
"2017/03/30","96,649","16,789,575","174.00","174.00","173.00","174.00","+0.50","107",
"2017/03/31","249,440","43,321,218","175.00","175.00","172.50","173.00","-1.00","230",
