"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/08/01","197,312","34,074,476","174.50","174.50","171.00","171.50","-2.00","181",
"2016/08/02","209,300","36,170,049","171.50","174.00","171.00","173.50","+2.00","180",
"2016/08/03","107,584","18,534,032","172.50","173.00","171.50","173.00","-0.50","111",
"2016/08/04","124,536","21,447,959","173.00","173.00","171.50","172.50","-0.50","114",
"2016/08/05","287,670","49,231,573","172.50","173.00","170.50","171.00","-1.50","247",
"2016/08/08","111,378","19,072,516","171.50","172.00","171.00","171.00"," 0.00","103",
"2016/08/09","221,300","37,706,248","170.00","172.00","169.50","171.00"," 0.00","191",
"2016/08/10","200,136","34,318,392","172.00","172.00","170.00","171.00"," 0.00","182",
"2016/08/11","192,264","32,994,804","171.00","173.50","170.00","172.50","+1.50","175",
"2016/08/12","281,900","48,856,600","172.00","174.00","171.50","174.00","+1.50","242",
"2016/08/15","187,465","32,570,910","174.00","174.00","173.00","174.00"," 0.00","172",
"2016/08/16","296,294","51,776,656","174.00","176.00","173.50","175.50","+1.50","237",
"2016/08/17","233,147","40,959,091","176.50","177.50","175.00","176.00","+0.50","210",
"2016/08/18","205,642","36,144,560","176.00","177.00","174.50","176.50","+0.50","183",
"2016/08/19","210,966","36,754,550","176.50","176.50","173.00","173.50","-3.00","184",
"2016/08/22","144,455","24,996,394","173.50","174.00","172.00","174.00","+0.50","148",
"2016/08/23","114,245","19,940,120","174.50","175.50","173.00","174.50","+0.50","96",
"2016/08/24","111,585","19,475,150","174.50","175.50","173.50","173.50","-1.00","106",
"2016/08/25","195,281","33,891,828","173.00","174.50","172.50","173.00","-0.50","182",
"2016/08/26","165,114","28,482,778","173.00","174.00","172.00","172.00","-1.00","166",
"2016/08/29","120,240","20,706,760","172.00","173.50","171.50","172.00"," 0.00","116",
"2016/08/30","98,322","16,944,865","172.00","173.00","171.50","172.50","+0.50","94",
"2016/08/31","118,391","20,404,337","173.00","173.50","171.50","172.50"," 0.00","111",
