"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/09/01","107,454","18,454,588","170.50","172.50","170.50","171.00","+1.00","108",
"2017/09/04","75,910","12,879,610","170.50","170.50","169.50","169.50","-1.50","79",
"2017/09/05","60,367","10,209,890","169.50","169.50","168.50","169.00","-0.50","81",
"2017/09/06","267,180","44,772,420","168.00","168.00","167.00","168.00","-1.00","258",
"2017/09/07","246,999","41,270,832","168.00","168.00","166.50","167.00","-1.00","258",
"2017/09/08","212,867","35,456,715","167.00","167.00","166.00","166.50","-0.50","213",
"2017/09/11","168,849","28,069,283","166.50","166.50","166.00","166.00","-0.50","196",
"2017/09/12","162,288","27,076,384","166.50","167.00","166.50","167.00","+1.00","172",
"2017/09/13","86,224","14,400,132","167.50","167.50","166.50","167.00"," 0.00","111",
"2017/09/14","76,626","12,825,294","167.00","168.00","166.50","168.00","+1.00","92",
"2017/09/15","106,418","17,944,060","168.50","169.00","168.00","169.00","+1.00","120",
"2017/09/18","87,872","14,821,868","169.00","169.50","168.00","168.50","-0.50","116",
"2017/09/19","117,794","19,811,284","169.50","169.50","167.50","167.50","-1.00","136",
"2017/09/20","182,259","30,442,512","167.50","168.50","166.50","167.00","-0.50","193",
"2017/09/21","147,500","24,777,246","168.00","168.50","167.50","168.00","+1.00","127",
"2017/09/22","282,005","47,781,344","168.50","170.50","168.00","169.00","+1.00","237",
"2017/09/25","292,450","49,506,000","169.50","170.00","168.50","169.50","+0.50","286",
"2017/09/26","402,005","68,385,850","170.00","170.50","168.50","169.00","-0.50","198",
"2017/09/27","84,500","14,361,000","170.50","170.50","169.50","170.00","+1.00","88",
"2017/09/28","106,800","18,018,700","169.50","169.50","168.00","168.00","-2.00","118",
"2017/09/29","83,650","14,087,000","168.00","170.00","167.50","170.00","+2.00","94",
"2017/09/30","33,030","5,587,084","168.50","170.00","168.50","169.00","-1.00","42",
