"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/08/01","180,100","33,370,000","185.50","186.00","184.50","184.50","-1.00","177",
"2018/08/02","121,101","22,285,584","185.00","185.00","183.00","183.00","-1.50","151",
"2018/08/03","119,977","22,051,756","184.00","184.50","183.00","183.50","+0.50","120",
"2018/08/06","230,433","42,189,385","183.50","184.00","182.00","183.00","-0.50","228",
"2018/08/07","212,450","38,986,700","183.50","184.50","183.00","183.50","+0.50","130",
"2018/08/08","222,600","40,990,100","184.00","185.50","183.50","184.50","+1.00","111",
"2018/08/09","192,330","35,439,550","185.00","185.00","183.50","184.00","-0.50","86",
"2018/08/10","251,350","45,912,400","184.50","184.50","182.00","182.50","-1.50","240",
"2018/08/13","202,478","36,769,974","182.50","183.50","181.00","181.50","-1.00","215",
"2018/08/14","103,876","19,003,684","182.50","183.50","182.50","183.00","+1.50","113",
"2018/08/15","334,039","60,873,150","183.00","183.50","181.00","182.00","-1.00","257",
"2018/08/16","253,509","45,799,387","181.00","181.50","180.00","181.00","-1.00","221",
"2018/08/17","111,220","20,152,647","181.00","182.00","180.50","181.00"," 0.00","118",
"2018/08/20","228,499","41,192,062","181.00","181.00","179.50","181.00"," 0.00","248",
"2018/08/21","164,113","29,693,066","181.50","181.50","180.50","181.00"," 0.00","164",
"2018/08/22","136,799","24,641,619","181.50","181.50","179.50","179.50","-1.50","165",
"2018/08/23","160,262","28,733,287","179.50","180.00","179.00","179.50"," 0.00","177",
"2018/08/24","159,348","28,423,959","179.00","179.00","178.00","178.00","-1.50","195",
"2018/08/27","92,979","16,637,208","178.00","180.00","178.00","179.00","+1.00","107",
"2018/08/28","139,428","24,893,040","178.50","179.00","178.00","179.00"," 0.00","160",
"2018/08/29","104,715","18,796,056","179.00","180.00","179.00","179.00"," 0.00","110",
"2018/08/30","131,306","23,608,886","179.00","180.50","179.00","180.00","+1.00","114",
"2018/08/31","127,790","23,074,780","180.00","181.50","179.50","181.50","+1.50","115",
