"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2014/10/01","59,241","9,110,355","152.50","154.50","152.00","153.00","+0.50","61",
"2014/10/02","92,140","14,114,840","153.00","154.50","152.50","152.50","-0.50","77",
"2014/10/03","223,658","34,225,990","152.50","154.00","152.00","153.00","+0.50","184",
"2014/10/06","175,800","26,832,300","153.00","154.50","152.00","152.00","-1.00","173",
"2014/10/07","187,299","28,561,895","151.00","153.50","151.00","151.50","-0.50","170",
"2014/10/08","93,230","14,157,071","151.00","153.00","150.50","151.50"," 0.00","88",
"2014/10/09","153,600","23,393,499","152.00","154.00","151.50","151.50"," 0.00","135",
"2014/10/13","159,230","23,855,344","148.00","152.00","148.00","149.00","-2.50","145",
"2014/10/14","69,637","10,406,050","149.00","150.50","149.00","149.00"," 0.00","76",
"2014/10/15","90,150","13,476,000","152.00","152.00","149.00","149.00"," 0.00","87",
"2014/10/16","258,140","38,315,500","149.00","150.50","148.00","148.00","-1.00","213",
"2014/10/17","384,850","54,470,900","148.00","149.50","138.00","138.00","-10.00","200",
"2014/10/20","387,747","55,588,815","143.00","145.50","141.50","145.00","+7.00","260",
"2014/10/21","444,074","61,791,638","144.00","145.50","136.00","136.00","-9.00","405",
"2014/10/22","389,100","53,388,400","137.00","140.00","135.00","136.00"," 0.00","323",
"2014/10/23","648,032","85,325,352","135.50","135.50","128.00","133.00","-3.00","543",
"2014/10/24","317,300","41,771,400","133.00","135.00","129.00","130.00","-3.00","253",
"2014/10/27","165,185","21,365,769","130.50","131.50","126.50","126.50","-3.50","142",
"2014/10/28","192,788","25,067,332","127.50","131.00","127.50","129.50","+3.00","160",
"2014/10/29","346,285","45,954,975","129.50","134.50","129.50","133.00","+3.50","183",
"2014/10/30","126,371","16,811,714","133.00","135.00","132.00","132.00","-1.00","99",
"2014/10/31","373,384","50,292,108","132.00","135.00","132.00","135.00","+3.00","147",
