"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2011/06/01","8,191,948","813,476,204","98.00","101.00","98.00","98.20","+0.20","4,508",
"2011/06/02","5,345,510","526,573,716","98.50","99.60","97.50","98.00","-0.20","2,890",
"2011/06/03","3,264,358","321,494,524","99.00","99.50","97.60","97.60","-0.40","1,752",
"2011/06/07","2,636,604","257,381,619","98.70","98.70","97.20","97.60"," 0.00","1,594",
"2011/06/08","3,304,598","320,953,495","96.60","98.00","96.60","96.70","-0.90","2,199",
"2011/06/09","2,264,285","218,747,684","96.70","97.50","96.00","97.00","+0.30","1,277",
"2011/06/10","5,559,317","536,512,352","97.90","99.00","94.50","94.50","-2.50","3,179",
"2011/06/13","2,910,341","273,255,678","93.10","95.20","93.10","93.60","-0.90","1,719",
"2011/06/14","1,788,911","169,573,045","95.10","95.20","94.10","95.00","+1.40","1,205",
"2011/06/15","3,568,616","341,685,461","95.30","97.20","94.60","97.20","+2.20","2,130",
"2011/06/16","5,022,855","474,643,494","96.00","96.60","93.90","93.90","-3.30","2,652",
"2011/06/17","2,048,083","193,748,585","95.70","95.80","94.00","94.40","+0.50","1,212",
"2011/06/20","3,371,330","320,168,409","94.90","96.50","93.50","93.70","-0.70","1,815",
"2011/06/21","7,270,484","663,809,081","94.70","94.90","89.00","91.30","-2.40","3,686",
"2011/06/22","5,099,985","466,781,419","92.20","92.70","90.50","91.00","-0.30","2,656",
"2011/06/23","1,850,480","168,885,118","91.00","92.40","90.60","91.10","+0.10","1,247",
"2011/06/24","2,969,636","272,913,455","91.10","92.70","90.70","92.40","+1.30","1,654",
"2011/06/27","1,503,054","138,334,727","91.20","92.80","90.90","92.70","+0.30","1,027",
"2011/06/28","2,724,026","253,302,873","94.60","94.60","92.00","92.00","-0.70","1,535",
"2011/06/29","2,528,964","234,753,352","93.00","93.30","92.30","92.70","+0.70","1,385",
"2011/06/30","2,657,598","244,838,511","93.00","93.50","91.20","92.50","-0.20","1,633",
