"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2012/01/02","4,199,329","126,518,129","30.20","30.30","29.90","30.00","-0.20","1,154",
"2012/01/03","8,339,613","255,531,362","30.40","31.00","30.10","30.90","+0.90","3,077",
"2012/01/04","8,499,309","265,876,127","31.25","31.50","30.90","31.30","+0.40","3,029",
"2012/01/05","8,618,189","269,255,671","31.30","31.40","30.95","31.40","+0.10","2,125",
"2012/01/06","10,956,619","345,304,320","31.60","31.85","31.30","31.85","+0.45","2,946",
"2012/01/09","8,748,604","278,704,020","31.85","32.20","31.25","32.10","+0.25","2,458",
"2012/01/10","14,513,027","470,693,393","32.20","32.75","32.00","32.25","+0.15","4,176",
"2012/01/11","12,473,853","398,795,052","32.50","32.60","31.65","31.85","-0.40","3,327",
"2012/01/12","11,467,969","365,282,318","31.90","32.00","31.75","32.00","+0.15","3,995",
"2012/01/13","10,249,683","330,692,170","32.30","32.70","32.00","32.20","+0.20","3,355",
"2012/01/16","6,148,607","194,093,600","32.60","32.60","31.00","31.40","-0.80","2,332",
"2012/01/17","4,687,097","149,574,156","31.80","32.10","31.40","31.95","+0.55","1,963",
"2012/01/18","7,775,445","248,209,129","32.20","32.20","31.50","32.00","+0.05","2,245",
"2012/01/30","15,690,291","507,840,377","32.30","32.50","32.05","32.40","+0.40","5,036",
"2012/01/31","12,428,069","404,278,306","32.50","33.20","31.90","33.20","+0.80","3,801",
