"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2011/12/01","16,997,639","479,099,623","28.00","28.55","27.75","28.50","+1.80","5,789",
"2011/12/02","7,039,153","196,727,614","28.00","28.40","27.65","28.10","-0.40","3,193",
"2011/12/05","7,770,214","211,573,727","28.00","28.00","27.45","27.50","-0.60","2,308",
"2011/12/06","14,572,321","406,614,588","27.50","28.20","27.10","28.00","+0.50","3,927",
"2011/12/07","6,944,437","195,888,888","28.50","28.50","27.90","28.20","+0.20","2,193",
"2011/12/08","9,426,175","266,939,437","28.45","28.50","28.00","28.45","+0.25","2,598",
"2011/12/09","9,070,180","253,110,740","28.25","28.25","27.60","28.00","-0.45","2,876",
"2011/12/12","2,605,334","73,591,649","28.45","28.45","28.05","28.30","+0.30","1,079",
"2011/12/13","4,010,432","112,321,662","27.95","28.25","27.70","27.95","-0.35","1,507",
"2011/12/14","4,956,739","138,788,691","28.00","28.15","27.75","28.00","+0.05","1,591",
"2011/12/15","5,664,967","156,177,534","27.50","27.90","27.35","27.40","-0.60","2,263",
"2011/12/16","3,593,691","99,038,239","27.60","27.70","27.20","27.60","+0.20","1,353",
"2011/12/19","4,380,827","119,279,054","27.70","27.95","27.00","27.05","-0.55","1,866",
"2011/12/20","4,021,849","109,349,077","27.20","27.45","27.00","27.35","+0.30","1,472",
"2011/12/21","14,301,062","414,666,410","28.20","29.25","28.00","29.25","+1.90","4,584",
"2011/12/22","10,034,138","297,077,852","29.70","30.10","29.10","29.10","-0.15","3,765",
"2011/12/23","8,818,535","263,716,830","29.70","30.20","29.50","30.00","+0.90","3,641",
"2011/12/26","4,232,997","126,618,790","30.10","30.10","29.50","29.95","-0.05","1,287",
"2011/12/27","5,214,430","155,882,764","29.95","30.10","29.60","30.00","+0.05","1,466",
"2011/12/28","5,966,525","178,232,605","30.00","30.10","29.55","30.10","+0.10","1,958",
"2011/12/29","4,702,929","141,521,886","30.00","30.20","29.70","30.20","+0.10","1,499",
"2011/12/30","9,882,904","296,469,230","29.90","30.25","29.60","30.20"," 0.00","2,662",
