"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2015/04/01","9,821,652","253,557,735","25.95","26.05","25.60","25.60","-0.45","3,303",
"2015/04/02","22,373,632","569,857,633","25.60","25.85","25.30","25.30","-0.30","6,304",
"2015/04/07","18,620,912","485,298,440","25.60","26.50","25.50","26.50","+1.20","6,279",
"2015/04/08","15,110,518","396,154,477","26.50","26.55","25.85","26.40","-0.10","5,219",
"2015/04/09","14,772,048","393,624,201","26.75","26.85","26.45","26.60","+0.20","5,198",
"2015/04/10","19,612,852","526,985,994","27.00","27.00","26.65","27.00","+0.40","5,750",
"2015/04/13","17,929,211","482,556,767","27.10","27.20","26.60","27.05","+0.05","5,443",
"2015/04/14","24,341,118","655,717,716","27.05","27.05","26.60","27.05"," 0.00","5,005",
"2015/04/15","17,513,386","471,984,443","27.10","27.15","26.70","26.90","-0.15","5,593",
"2015/04/16","46,841,940","1,313,413,698","27.10","28.60","27.10","28.60","+1.70","14,389",
"2015/04/17","24,629,770","693,837,639","28.60","28.60","27.95","28.15","-0.45","8,475",
"2015/04/20","21,685,807","606,509,759","28.00","28.40","27.60","27.80","-0.35","7,309",
"2015/04/21","15,450,245","432,665,310","28.00","28.45","27.70","28.00","+0.20","5,753",
"2015/04/22","36,124,189","1,035,642,990","28.35","29.30","28.35","28.45","+0.45","9,525",
"2015/04/23","20,769,489","590,696,248","28.85","28.90","28.10","28.30","-0.15","6,233",
"2015/04/24","25,140,598","715,111,394","28.60","28.95","27.95","28.30"," 0.00","8,975",
"2015/04/27","21,273,234","605,222,470","28.80","28.85","28.20","28.30"," 0.00","6,888",
"2015/04/28","19,558,854","546,103,586","28.30","28.45","27.70","27.75","-0.55","7,748",
"2015/04/29","20,453,601","559,705,665","27.70","27.75","27.00","27.20","-0.55","6,682",
"2015/04/30","28,318,766","796,314,498","27.30","28.75","27.25","28.00","+0.80","8,191",
