"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/02/02","23,330,809","435,625,930","18.70","18.90","18.50","18.60","-0.25","5,608",
"2017/02/03","14,341,762","266,013,608","18.70","18.75","18.45","18.60"," 0.00","3,985",
"2017/02/06","9,617,462","180,127,573","18.60","18.80","18.60","18.70","+0.10","3,120",
"2017/02/07","9,722,233","182,193,986","18.60","18.85","18.60","18.75","+0.05","2,695",
"2017/02/08","11,694,856","217,368,205","18.65","18.70","18.50","18.70","-0.05","3,371",
"2017/02/09","13,865,470","258,812,214","18.70","18.80","18.55","18.60","-0.10","3,090",
"2017/02/10","13,845,782","259,858,850","18.70","18.85","18.60","18.75","+0.15","3,302",
"2017/02/13","15,267,033","288,612,447","18.85","19.05","18.80","18.95","+0.20","2,801",
"2017/02/14","12,889,556","243,671,879","19.00","19.00","18.75","18.95"," 0.00","2,553",
"2017/02/15","15,489,681","295,438,233","19.00","19.15","18.95","19.15","+0.20","4,166",
"2017/02/16","16,356,467","315,924,986","19.25","19.45","19.20","19.35","+0.20","4,433",
"2017/02/17","8,250,200","158,460,738","19.35","19.35","19.15","19.20","-0.15","3,452",
"2017/02/18","4,247,821","81,165,408","19.20","19.20","19.05","19.05","-0.15","1,384",
"2017/02/20","7,101,703","135,738,219","19.10","19.20","19.05","19.05"," 0.00","2,011",
"2017/02/21","10,105,295","193,866,073","19.05","19.25","19.05","19.25","+0.20","2,460",
"2017/02/22","8,061,564","155,362,510","19.35","19.35","19.15","19.30","+0.05","2,650",
"2017/02/23","10,528,490","202,399,687","19.30","19.30","19.15","19.20","-0.10","2,167",
"2017/02/24","14,818,840","284,628,159","19.20","19.30","19.10","19.25","+0.05","3,413",
