"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/01/03","3,465,396","64,390,802","18.50","18.65","18.45","18.65","+0.20","1,406",
"2017/01/04","6,354,431","118,595,128","18.65","18.75","18.60","18.65"," 0.00","2,192",
"2017/01/05","9,346,175","175,860,457","18.70","19.00","18.65","18.80","+0.15","2,743",
"2017/01/06","9,114,545","171,335,003","18.85","18.90","18.70","18.75","-0.05","2,391",
"2017/01/09","7,474,381","140,141,489","18.80","18.85","18.65","18.65","-0.10","2,136",
"2017/01/10","6,251,538","116,835,297","18.65","18.80","18.60","18.70","+0.05","2,306",
"2017/01/11","9,124,016","169,535,527","18.65","18.70","18.50","18.65","-0.05","3,093",
"2017/01/12","12,195,339","227,636,913","18.70","18.80","18.50","18.50","-0.15","4,640",
"2017/01/13","10,436,983","194,939,818","18.70","18.80","18.55","18.75","+0.25","2,991",
"2017/01/16","21,558,062","408,646,408","18.90","19.10","18.80","19.00","+0.25","4,515",
"2017/01/17","10,073,976","191,469,179","19.05","19.15","18.90","19.00"," 0.00","3,096",
"2017/01/18","11,718,374","222,814,782","19.00","19.10","18.95","18.95","-0.05","3,744",
"2017/01/19","7,697,379","145,445,900","18.90","18.95","18.85","18.90","-0.05","2,916",
"2017/01/20","8,783,809","165,644,483","18.90","18.95","18.75","18.85","-0.05","2,763",
"2017/01/23","8,087,183","152,831,227","19.00","19.00","18.80","18.90","+0.05","2,262",
"2017/01/24","8,383,481","158,275,596","18.90","18.95","18.80","18.85","-0.05","2,393",
